dataset,fold,mae,rmse,r2
_0_9M,9,2.4867866039276123,3.2297027111053467,0.844967782497406
_0_9M,7,2.313418388366699,3.210228443145752,0.8373547792434692
_0_9M,6,2.304983139038086,3.0265793800354004,0.8594591021537781
_0_9M,1,2.2501816749572754,2.934546709060669,0.8670461177825928
_0_9M,10,2.5690317153930664,3.2693281173706055,0.8385908603668213
_0_9M,8,2.496792793273926,3.3563504219055176,0.8206906318664551
_0_9M,4,2.291163921356201,3.0073940753936768,0.8617334961891174
_0_9M,3,2.369218111038208,2.980255365371704,0.8660569787025452
_0_9M,2,2.6932389736175537,3.261690616607666,0.8400759100914001
_0_9M,5,2.466604471206665,3.357557535171509,0.8189287781715393
_0_3M,9,2.685830593109131,3.467113494873047,0.7718626260757446
_0_3M,7,3.0388903617858887,3.730116605758667,0.734125018119812
_0_3M,6,2.6856987476348877,3.4692511558532715,0.769507110118866
_0_3M,1,3.3579437732696533,4.575020790100098,0.6041614413261414
_0_3M,10,2.4399631023406982,3.3107821941375732,0.792523205280304
_0_3M,8,2.6494932174682617,3.7290501594543457,0.738798975944519
_0_3M,4,2.4835150241851807,3.5476465225219727,0.7640352845191956
_0_3M,3,2.989096164703369,4.094813346862793,0.6855987906455994
_0_3M,2,2.3948006629943848,3.406440258026123,0.7802842855453491
_0_3M,5,2.368485450744629,3.303377151489258,0.7931157350540161
_9_12M,9,2.094435691833496,2.776662588119507,0.9107567667961121
_9_12M,7,2.096748113632202,2.773433208465576,0.9110568165779114
_9_12M,6,2.0980892181396484,2.749701738357544,0.9127355217933655
_9_12M,1,2.1448962688446045,2.7763919830322266,0.9110773801803589
_9_12M,10,2.099738121032715,2.784585952758789,0.9103137850761414
_9_12M,8,2.0952517986297607,2.752845525741577,0.9124301671981812
_9_12M,4,2.11800479888916,2.7744853496551514,0.9110493659973145
_9_12M,3,2.1697628498077393,2.868901491165161,0.9048157930374146
_9_12M,2,2.1390318870544434,2.803084135055542,0.9092544913291931
_9_12M,5,2.111314058303833,2.7764174938201904,0.910882830619812
_3_6M,9,2.439568042755127,3.179755210876465,0.8613218665122986
_3_6M,7,2.352673292160034,3.1306979656219482,0.8655970096588135
_3_6M,6,2.3712878227233887,3.1395468711853027,0.8648122549057007
_3_6M,1,2.3493590354919434,3.1014955043792725,0.8682178854942322
_3_6M,10,2.3862977027893066,3.1677405834198,0.8623842597007751
_3_6M,8,2.3653485774993896,3.1498255729675293,0.863946795463562
_3_6M,4,2.33774471282959,3.1431775093078613,0.8644718527793884
_3_6M,3,2.443976879119873,3.1563942432403564,0.8634939789772034
_3_6M,2,2.322021961212158,3.167189121246338,0.8624879121780396
_3_6M,5,2.6035709381103516,3.2875850200653076,0.8515894412994385
_0_6M,9,2.417250633239746,3.0728633403778076,0.849029004573822
_0_6M,7,2.397559404373169,3.056583881378174,0.8508085012435913
_0_6M,6,2.480438709259033,3.124317169189453,0.8436479568481445
_0_6M,1,2.669901132583618,3.3001832962036133,0.822467565536499
_0_6M,10,2.348129987716675,3.0454044342041016,0.851703405380249
_0_6M,8,2.451655864715576,3.1283719539642334,0.8436898589134216
_0_6M,4,2.906616449356079,3.5019023418426514,0.8014914393424988
_0_6M,3,3.375476121902466,3.924975633621216,0.7468209862709045
_0_6M,2,2.8679139614105225,3.47131609916687,0.8029553294181824
_0_6M,5,2.3673691749572754,3.0364513397216797,0.8528509140014648
_3_9M,9,2.4498109817504883,3.115140438079834,0.8751885294914246
_3_9M,7,2.2346885204315186,3.0057947635650635,0.8829790949821472
_3_9M,6,2.432508707046509,3.1235904693603516,0.8742601275444031
_3_9M,1,2.2435555458068848,3.098450183868408,0.8759818077087402
_3_9M,10,2.135676860809326,2.9990527629852295,0.8832073211669922
_3_9M,8,2.1897215843200684,3.0128772258758545,0.8821057677268982
_3_9M,4,2.1531946659088135,3.0461854934692383,0.8796205520629883
_3_9M,3,2.2059221267700195,2.996432065963745,0.8836216926574707
_3_9M,2,2.3636767864227295,3.0713045597076416,0.8784273266792297
_3_9M,5,2.156360626220703,3.102823257446289,0.8751715421676636
_6_12M,9,2.417219400405884,3.109877347946167,0.8926206231117249
_6_12M,7,2.3781657218933105,3.1379032135009766,0.8907696604728699
_6_12M,6,2.3858180046081543,3.136157751083374,0.8909291625022888
_6_12M,1,2.5802149772644043,3.453157901763916,0.8680769801139832
_6_12M,10,2.40328311920166,3.094780206680298,0.8935368657112122
_6_12M,8,2.3754541873931885,3.1868388652801514,0.887106716632843
_6_12M,4,2.4884190559387207,3.1725544929504395,0.8892773389816284
_6_12M,3,2.4678680896759033,3.320646047592163,0.8775725364685059
_6_12M,2,2.537480354309082,3.410421848297119,0.8709521293640137
_6_12M,5,2.3951761722564697,3.221099853515625,0.8847237825393677
_6_9M,9,2.5234904289245605,3.111344814300537,0.8473134636878967
_6_9M,7,2.234288454055786,2.8725743293762207,0.8736727833747864
