dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.352830743789673,2.2367481929346784,2.4689132946446675,0.18728839658372914,3.035254168510437,2.910983715681257,3.159524621339617,0.20049881469424677,0.8961070716381073,0.8874820951844584,0.9047320480917562,0.01391559712186341
_0_3M,2.7093717098236083,2.507902873626703,2.9108405460205136,0.32505122445183454,3.663361167907715,3.4158231702466986,3.9108991655687313,0.39937953063583936,0.7434012472629548,0.7070262064188516,0.7797762881070579,0.05868774441276509
_0_6M,2.628231143951416,2.4224252369490595,2.8340370509537727,0.33204868471645055,3.26623694896698,3.086748693800045,3.4457252041339146,0.2895876018249997,0.8265464961528778,0.8053133145729484,0.8477796777328072,0.034257763145157834
_0_9M,2.4241419792175294,2.3360431087207187,2.51224084971434,0.14213933166231163,3.1633633375167847,3.0639855000383203,3.262741174995249,0.1603368955989757,0.8454904437065125,0.8345375563780465,0.8564433310349785,0.01767146475160685
_3_12M,2.2058263063430785,2.19572145961058,2.215931153075577,0.016303230143676403,2.8572435855865477,2.8306872418309017,2.8837999293421936,0.04284619009909768,0.908804714679718,0.9070224670170675,0.9105869623423686,0.0028754908002485095
_3_6M,2.397184896469116,2.345809894604501,2.448559898333731,0.08288878606509237,3.162340760231018,3.131819360529109,3.192862159932927,0.04924343899715145,0.8628323256969452,0.8601075336568266,0.8655571177370639,0.004396198467893838
_3_9M,2.2565116405487062,2.1841141829855655,2.328909098111847,0.11680656260454479,3.0571651220321656,3.0254606496338616,3.0888695944304696,0.051152216730909326,0.8790563762187957,0.8767374375535251,0.8813753148840664,0.0037413918043295575
_6_12M,2.442909908294678,2.3981193417949007,2.487700474794455,0.07226541215741385,3.224343752861023,3.1455385412135546,3.3031489645084915,0.12714487770287286,0.8845565795898438,0.878864181179476,0.8902489780002116,0.009184155268308281
_6_9M,2.2792888641357423,2.2145282241178306,2.344049504153654,0.10448526795247387,2.9193049907684325,2.8728457365333586,2.9657642450035064,0.07495768457941678,0.8686120748519898,0.8635756557623313,0.8736484939416482,0.008125793660445265
_9_12M,2.11672728061676,2.1005541709421935,2.1329003902913266,0.026093807867007813,2.7836509466171266,2.7628980069002167,2.8044038863340366,0.0334829375763294,0.9104372918605804,0.9090709398754142,0.9118036438457466,0.0022044818156212983
