dataset,fold,mae,rmse,r2
Combined_12M,9,2.615605115890503,3.521683692932129,0.8509198427200317
Combined_12M,7,2.502628803253174,3.6284573078155518,0.838318407535553
Combined_12M,6,2.729750633239746,3.952732563018799,0.794800341129303
Combined_12M,1,2.812110662460327,3.7887771129608154,0.8238611221313477
Combined_12M,10,2.7387261390686035,3.6288232803344727,0.8413353562355042
Combined_12M,8,2.602705955505371,3.527459144592285,0.8492264747619629
Combined_12M,4,2.66188907623291,3.5919413566589355,0.8443012833595276
Combined_12M,3,2.7010915279388428,3.669903516769409,0.8368426561355591
Combined_12M,2,2.9432504177093506,4.056866645812988,0.7906340956687927
Combined_12M,5,2.7719345092773438,3.6015405654907227,0.8457474112510681
Combined_3M,9,2.396127223968506,3.446113109588623,0.7911104559898376
Combined_3M,7,2.2442147731781006,3.0361595153808594,0.8601545095443726
Combined_3M,6,2.2633602619171143,3.0161216259002686,0.8604045510292053
Combined_3M,1,2.3283193111419678,3.0842552185058594,0.8543599247932434
Combined_3M,10,2.2674853801727295,3.121616840362549,0.848783552646637
Combined_3M,8,2.3129773139953613,3.062126398086548,0.857421875
Combined_3M,4,2.2852017879486084,3.1757707595825195,0.8390722870826721
Combined_3M,3,2.3392539024353027,3.325587749481201,0.7759041786193848
Combined_3M,2,2.245699405670166,3.049302339553833,0.859681248664856
Combined_3M,5,2.2940526008605957,2.987203598022461,0.863592267036438
Combined_9M,9,2.2244138717651367,2.9513533115386963,0.897249698638916
Combined_9M,7,2.253694772720337,3.1694774627685547,0.8695899248123169
Combined_9M,6,2.263889789581299,3.255082368850708,0.8536279797554016
Combined_9M,1,2.289743423461914,2.9910202026367188,0.8950618505477905
Combined_9M,10,2.2136120796203613,2.9929428100585938,0.8950093984603882
Combined_9M,8,2.251647472381592,3.203495740890503,0.8587994575500488
Combined_9M,4,2.2459192276000977,3.1512367725372314,0.8673014640808105
Combined_9M,3,2.234652519226074,3.0730977058410645,0.8890100121498108
Combined_9M,2,2.2306933403015137,3.081118583679199,0.8885640501976013
Combined_9M,5,2.232599973678589,3.1123154163360596,0.8787801265716553
Combined_6M,9,2.523209810256958,3.6218175888061523,0.8319606184959412
Combined_6M,7,2.3923685550689697,3.364741802215576,0.8594111204147339
Combined_6M,6,2.5567572116851807,3.859785318374634,0.7941902875900269
Combined_6M,1,2.7166175842285156,4.005946159362793,0.7813701033592224
Combined_6M,10,2.4441349506378174,3.484405994415283,0.8477624654769897
Combined_6M,8,2.4751217365264893,3.6675193309783936,0.8271422386169434
Combined_6M,4,2.475163698196411,3.462571382522583,0.8516474962234497
Combined_6M,3,2.482893705368042,3.3772315979003906,0.8575833439826965
Combined_6M,2,2.5342965126037598,3.5844597816467285,0.840339183807373
Combined_6M,5,2.5562069416046143,3.477065324783325,0.8508334755897522
