dataset,fold,mae,rmse,r2
_15_27M,9,3.081369161605835,4.075552463531494,0.7794692516326904
_15_27M,7,3.486299991607666,4.394845008850098,0.7449816465377808
_15_27M,6,3.0690081119537354,4.085689544677734,0.7765423655509949
_15_27M,1,3.429978609085083,4.5294599533081055,0.7285493612289429
_15_27M,10,3.134026050567627,4.061600208282471,0.7807163596153259
_15_27M,8,3.1467959880828857,4.207096576690674,0.7593401670455933
_15_27M,4,2.9950180053710938,4.132266044616699,0.7709760665893555
_15_27M,3,3.122101068496704,4.200079917907715,0.7650020122528076
_15_27M,2,3.6078813076019287,4.438183784484863,0.7389320731163025
_15_27M,5,3.4727766513824463,4.43116569519043,0.7406431436538696
_15_24M,9,3.4709463119506836,5.382828712463379,0.4876363277435303
_15_24M,7,3.5563268661499023,5.563774585723877,0.4937792718410492
_15_24M,6,3.6329505443573,5.700876712799072,0.47141775488853455
_15_24M,1,3.7244675159454346,5.652266979217529,0.4670220613479614
_15_24M,10,3.555171251296997,5.507875919342041,0.47998136281967163
_15_24M,8,3.757316827774048,5.736621379852295,0.4842112362384796
_15_24M,4,3.679703950881958,5.733405113220215,0.4385932385921478
_15_24M,3,3.521735668182373,5.606454372406006,0.45110657811164856
_15_24M,2,3.47686767578125,5.528286457061768,0.4578082263469696
_15_24M,5,3.450556993484497,5.432778835296631,0.4846905767917633
_9_18M,9,3.2033019065856934,3.9917805194854736,0.8393387794494629
_9_18M,7,3.175168752670288,4.011127471923828,0.8377776145935059
_9_18M,6,3.7407279014587402,4.793810844421387,0.7682927846908569
_9_18M,1,3.389224052429199,4.113429546356201,0.8293972611427307
_9_18M,10,3.19435715675354,3.920553207397461,0.84502112865448
_9_18M,8,3.100630760192871,3.724743604660034,0.8601151704788208
_9_18M,4,3.0880327224731445,3.8720197677612305,0.8488343954086304
_9_18M,3,3.4810595512390137,4.475578784942627,0.7980350255966187
_9_18M,2,3.5652976036071777,4.569847583770752,0.7894374132156372
_9_18M,5,3.121006727218628,3.847425937652588,0.850748598575592
_18_21M,9,2.198148488998413,2.7759170532226562,0.8932247161865234
_18_21M,7,2.631826639175415,3.0890400409698486,0.8722716569900513
_18_21M,6,2.1287009716033936,2.8650848865509033,0.8824653029441833
_18_21M,1,2.5905163288116455,3.0742135047912598,0.872749924659729
_18_21M,10,2.123863458633423,2.7509891986846924,0.8947327136993408
_18_21M,8,2.093820095062256,2.739978551864624,0.8942989110946655
_18_21M,4,2.237130641937256,2.7651491165161133,0.8927909135818481
_18_21M,3,2.271186113357544,2.800612211227417,0.8917964100837708
_18_21M,2,2.189028024673462,2.7517502307891846,0.8943983316421509
_18_21M,5,2.184675931930542,2.7271406650543213,0.8950417637825012
_21_30M,9,2.107539176940918,2.9975533485412598,0.9082092046737671
_21_30M,7,2.003024101257324,2.875123977661133,0.9154031872749329
_21_30M,6,2.0743355751037598,2.9645416736602783,0.9101594686508179
_21_30M,1,1.979783296585083,2.7735228538513184,0.9190489053726196
_21_30M,10,2.8794257640838623,3.7104299068450928,0.8608035445213318
_21_30M,8,2.1562540531158447,3.0702037811279297,0.9039573073387146
_21_30M,4,2.0522258281707764,2.9185190200805664,0.9127086997032166
_21_30M,3,2.0362372398376465,2.8444855213165283,0.9168280959129333
_21_30M,2,2.0642096996307373,2.8170883655548096,0.9167385697364807
_21_30M,5,2.019951581954956,2.9123291969299316,0.9125182032585144
_9_15M,9,2.488980531692505,3.440769672393799,0.8099625706672668
_9_15M,7,2.774421215057373,3.9111902713775635,0.7518321871757507
_9_15M,6,2.496600866317749,3.590325117111206,0.7927120923995972
_9_15M,1,2.6806182861328125,3.553121328353882,0.7977227568626404
_9_15M,10,2.5089833736419678,3.553328037261963,0.7969706654548645
_9_15M,8,2.445667028427124,3.4143483638763428,0.8130669593811035
_9_15M,4,3.1396985054016113,4.269132137298584,0.7017449140548706
_9_15M,3,2.4259707927703857,3.5575673580169678,0.7959167957305908
_9_15M,2,2.568403482437134,3.69587779045105,0.7771313786506653
_9_15M,5,3.2030231952667236,4.297020435333252,0.6975669860839844
_27_30M,9,1.9898806810379028,2.5268819332122803,0.9007143974304199
_27_30M,7,2.091259241104126,2.8117847442626953,0.8811632990837097
_27_30M,6,1.9958289861679077,2.6307618618011475,0.8950575590133667
_27_30M,1,1.9045754671096802,2.515230655670166,0.9048386216163635
_27_30M,1,2.4607250690460205,2.8479325771331787,0.8973005414009094
_27_30M,10,2.053614616394043,2.5503835678100586,0.896319568157196
_27_30M,8,1.965975284576416,2.6387946605682373,0.8937525749206543
_27_30M,4,1.96381413936615,2.4104082584381104,0.9052650332450867
_27_30M,4,2.2010931968688965,2.9526004791259766,0.8893747925758362
_27_30M,3,1.912150263786316,2.443450927734375,0.9065378308296204
_27_30M,3,1.9735255241394043,2.6247823238372803,0.9123272895812988
_27_30M,2,1.9385658502578735,2.3946805000305176,0.9075340628623962
_27_30M,2,1.906479835510254,2.506309747695923,0.9204162359237671
_27_30M,5,2.1300885677337646,2.8213095664978027,0.8801056742668152
_18_30M,9,1.5656964778900146,1.9570225477218628,0.9366356730461121
_18_30M,7,1.4648617506027222,1.8459508419036865,0.9470272660255432
_18_30M,6,1.56915283203125,2.0121407508850098,0.9325264692306519
_18_30M,1,1.8018871545791626,2.1272552013397217,0.9339926838874817
_18_30M,10,1.614500641822815,1.9847766160964966,0.9369952082633972
_18_30M,8,1.803493857383728,2.049001693725586,0.9440472722053528
_18_30M,4,1.5322312116622925,1.912840485572815,0.9430709481239319
_18_30M,3,2.007016658782959,2.5205349922180176,0.8890014290809631
_18_30M,2,2.0542185306549072,2.544893503189087,0.8897935152053833
