dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.656948947906494,2.434963479578832,2.878934416234156,0.3581529017217252,3.571500849723816,3.26589309877516,3.877108600672472,0.49306967530573304,0.7176700949668884,0.6642338274400962,0.7711063624936806,0.08621444645038574
_12_18M,3.1783919095993043,3.1076785051819398,3.249105314016669,0.11408949952218544,4.566714191436768,4.5346033034859445,4.598825079387591,0.0518079304158456,0.7034067392349244,0.6995522513799947,0.7072612270898541,0.006218857568895218
_12_21M,2.739544224739075,2.6691061229911552,2.8099823264869945,0.11364532427658869,3.3991273403167725,3.308380318227949,3.489874362405596,0.14641187789708857,0.8605729877948761,0.8536584594119646,0.8674875161777876,0.011155948283612953
_15_18M,2.30730516910553,2.176344659221998,2.4382656789890618,0.21129259937191497,3.0821499109268187,2.9802040344979956,3.1840957873556417,0.16448018753936372,0.8254734158515931,0.8140093586709743,0.8369374730322118,0.018496189753654815
_15_21M,2.695848846435547,2.6213654823563513,2.7703322105147423,0.1201719787152185,3.388926148414612,3.303964150813546,3.4738881460156774,0.13707827906996412,0.8756673812866211,0.8684819790687761,0.8828527835044662,0.0115929780167426
_15_24M,3.5826043605804445,3.514442866011722,3.650765855149167,0.10997223038691775,5.584516906738282,5.508023063032908,5.661010750443655,0.12341570055607895,0.4716246634721756,0.4605557970051926,0.48269352993915854,0.017858586302003602
_15_27M,3.2545254945755007,3.118669379017104,3.3903816101338973,0.21919120368753633,4.255593919754029,4.146638461469366,4.364549378038691,0.17578949575867137,0.7585152447223663,0.7467570727731324,0.7702734166716002,0.01897071657116364
_18_21M,2.264889669418335,2.1469580547702507,2.3828212840664196,0.19027168899450153,2.8339875459671022,2.7495942247186487,2.918380867215556,0.13616077267928423,0.8883770644664765,0.8827214815003321,0.8940326474326208,0.009124756974013794
_18_24M,2.434277629852295,2.320038244430381,2.548517015274209,0.18431462062810364,3.2768572330474854,3.2196646648439953,3.3340498012509756,0.09227488814160875,0.8066846907138825,0.8002895800977256,0.8130798013300394,0.010317916038662589
_18_27M,2.3802742958068848,2.3219843932386004,2.438564198375169,0.09404533505361076,3.066404843330383,2.975909949139713,3.1568997375210532,0.14600509298900888,0.7970205068588256,0.7847807132410385,0.8092603004766128,0.019747768327856966
_18_30M,1.7039462089538575,1.5779379249876968,1.8299544929200182,0.20330264356242028,2.0867088079452514,1.9331467171037018,2.240270898786801,0.24775814761070403,0.9302512228488922,0.9164731508616158,0.9440292948361685,0.022229637370181455
_21_24M,2.3117393493652343,2.289936204976277,2.3335424937541918,0.035177345113584675,3.1354279279708863,3.1065789596943985,3.164276896247374,0.046545126479410254,0.7735783517360687,0.7695545719820388,0.7776021314900986,0.006491994298778805
_21_27M,2.4445828437805175,2.0820219259493107,2.8071437616117243,0.5849583116876371,2.9499466896057127,2.602538133216685,3.2973552459947406,0.5605113861328421,0.8828513443470001,0.8517644888470497,0.9139381998469505,0.050155749322640594
_21_30M,2.1372986316680906,1.9726164038166598,2.3019808595195217,0.26569945416394836,2.9883797645568846,2.8220163031855114,3.1547432259282577,0.26841196804233597,0.9076375186443328,0.8970603540292996,0.9182146832593661,0.017065271107164753
_24_27M,2.380808424949646,2.297499131125005,2.4641177187742875,0.13441179527860578,3.098329496383667,3.0236650569928067,3.1729939357745276,0.12046412688505824,0.8347342669963836,0.8247717556899726,0.8446967783027947,0.016073585175223688
_24_30M,2.1127336382865907,1.897568358038443,2.3278989185347383,0.3471491627411154,2.8316412210464477,2.6603046780240565,3.002977764068839,0.27643557263785024,0.8810764133930207,0.8674970843883207,0.8946557423977206,0.02190898405695882
_27_30M,2.0348269087927684,1.95571900280645,2.113934814779087,0.15101769427853412,2.619665128844125,2.527359456584538,2.7119708011037122,0.17621234716898948,0.8993362486362457,0.8934141184948774,0.9052583787776141,0.01130539897392205
_9_15M,2.6732367277145386,2.4973697290143226,2.8491037264147545,0.28374504140334406,3.728268051147461,3.527835100351649,3.928701001943273,0.323379919726135,0.7734627306461335,0.7470842593718348,0.7998412019204322,0.04255920939801441
_9_18M,3.3058807134628294,3.1660868974657954,3.4456745294598634,0.22554431701893335,4.132031726837158,3.9112952849856697,4.352768168688646,0.35613771370000896,0.8266998171806336,0.8077285927976061,0.845671041563661,0.0306083056390251
