dataset,fold,mae,rmse,r2
_0_9M,9,2.1540896892547607,2.7863357067108154,0.8747417330741882
_0_9M,7,2.064401149749756,2.68699312210083,0.8850652575492859
_0_9M,6,2.064671754837036,2.6453630924224854,0.8862974643707275
_0_9M,1,1.9652444124221802,2.5315723419189453,0.8946142196655273
_0_9M,10,2.1825013160705566,2.7840921878814697,0.8740760684013367
_0_9M,8,2.1092653274536133,2.7239224910736084,0.8803452849388123
_0_9M,4,2.0155467987060547,2.6108641624450684,0.8913856744766235
_0_9M,3,2.1306111812591553,2.663956880569458,0.8811662197113037
_0_9M,2,1.9125651121139526,2.528475761413574,0.8975814580917358
_0_9M,5,2.000696897506714,2.5866191387176514,0.8920629620552063
_0_3M,9,2.329582691192627,3.247605323791504,0.7659326791763306
_0_3M,7,2.396298408508301,3.082008123397827,0.7891053557395935
_0_3M,6,2.2571938037872314,2.972356081008911,0.8025704026222229
_0_3M,1,2.343813896179199,3.064160108566284,0.7934402227401733
_0_3M,10,2.176323175430298,3.047132968902588,0.7926953434944153
_0_3M,8,2.276008129119873,3.0022006034851074,0.7963194251060486
_0_3M,4,2.2552359104156494,3.059415578842163,0.7874355316162109
_0_3M,3,2.489577531814575,3.4485700130462646,0.7372667789459229
_0_3M,2,2.3130738735198975,3.220639705657959,0.7685174942016602
_0_3M,5,2.199784278869629,2.984727621078491,0.8004909753799438
_9_12M,9,2.5232815742492676,3.300539016723633,0.870842695236206
_9_12M,7,2.574774742126465,3.3078126907348633,0.8702500462532043
_9_12M,6,2.7399139404296875,3.4075610637664795,0.8620241284370422
_9_12M,1,2.505483627319336,3.447321653366089,0.8581314086914062
_9_12M,10,2.4894134998321533,3.271968126296997,0.873077392578125
_9_12M,8,2.8069417476654053,3.4732272624969482,0.8566659092903137
_9_12M,4,2.5209169387817383,3.353745698928833,0.8666029572486877
_9_12M,3,2.767300844192505,3.4773685932159424,0.8565816879272461
_9_12M,2,2.4908392429351807,3.342184066772461,0.8675907254219055
_9_12M,5,2.5228195190429688,3.356252670288086,0.8664377331733704
_3_6M,9,2.631643533706665,3.6621410846710205,0.6921732425689697
_3_6M,7,2.4971113204956055,3.4706289768218994,0.7112201452255249
_3_6M,6,2.4356157779693604,3.4369354248046875,0.7229140996932983
