dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.1467623591423033,2.004856662494343,2.2886680557902634,0.22895163997983445,2.5703224182128905,2.4514534096496976,2.6891914267760835,0.19178408687027992,0.9067889451980591,0.8968813110440785,0.9166965793520396,0.01598504599502746
_0_3M,2.303689169883728,2.2460647271789775,2.361313612588478,0.09297167747188011,3.11288161277771,3.0201684328210456,3.2055947927343746,0.1495840907041486,0.7833774209022522,0.7707807396970502,0.7959741021074541,0.020323573248710747
_0_6M,2.518096375465393,2.423789067317818,2.6124036836129676,0.15215606823759756,3.5562406539916993,3.4674986482942978,3.644982659689101,0.14317697047725916,0.6921484887599945,0.6816049794793966,0.7026919980405923,0.0170109713560269
_0_9M,2.059959363937378,2.006273709291135,2.1136450185836213,0.08661680936700493,2.6548194885253906,2.5972196475172606,2.7124193295335206,0.09293198492309201,0.8857336342334747,0.8806787480648055,0.890788520402144,0.008155588574426994
_3_12M,2.267844831943512,2.071518170898565,2.4641714929884593,0.31675480322341143,2.73755738735199,2.5584236528812725,2.916691121822707,0.2890156156628996,0.8940156698226929,0.87765111764103,0.9103802220043558,0.026402682542210364
_3_6M,2.574209189414978,2.4763212150156697,2.6720971638142865,0.15793314012350373,3.560627818107605,3.4650994054487367,3.6561562307664732,0.15412620676657418,0.7028008818626403,0.6901817230169306,0.7154200407083501,0.020359838830563262
_3_9M,2.0411576867103576,1.9704908486552997,2.1118245247654155,0.11401436902869692,2.669162559509277,2.600333487718797,2.7379916312997574,0.11104930412916408,0.8822188019752503,0.876096370229015,0.8883412337214855,0.009877974049502804
_6_12M,2.5668009757995605,2.5048871021241226,2.6287148494749983,0.09989227529506328,3.2505443811416628,3.1942591146814894,3.306829647601836,0.09081104118552609,0.8763397991657257,0.8718692999132442,0.8808102984182071,0.007212734650980379
_6_9M,1.9525384068489076,1.903596876062988,2.0014799376348273,0.07896260686671253,2.6446375370025637,2.598922901481597,2.6903521725235304,0.0737563115564758,0.8967257797718048,0.8931097886639596,0.90034177087965,0.005834065254952094
_9_12M,2.5941685676574706,2.5163527302023354,2.671984405112606,0.12554861448554458,3.3737980842590334,3.328084189346274,3.419511979171793,0.07375511665403318,0.8648204684257508,0.8610428182607157,0.8685981185907858,0.006094887104500834
