dataset,fold,mae,rmse,r2
papaiz_3M,9,1.536316990852356,2.0002355575561523,0.835186779499054
papaiz_3M,7,1.4932719469070435,1.9517098665237427,0.8420090079307556
papaiz_3M,6,1.3174694776535034,1.7831553220748901,0.8669689297676086
papaiz_3M,1,1.315813660621643,1.7866874933242798,0.8698955774307251
papaiz_3M,10,2.345170021057129,2.693091869354248,0.709031343460083
papaiz_3M,8,1.316562533378601,1.7691861391067505,0.8699294924736023
papaiz_3M,4,1.327152132987976,1.7645775079727173,0.8712906241416931
papaiz_3M,3,1.3916655778884888,1.7894549369812012,0.8688382506370544
papaiz_3M,2,1.3300267457962036,1.7536929845809937,0.8736743927001953
papaiz_3M,5,1.890463948249817,2.2622790336608887,0.7940399646759033
