dataset,fold,mae,rmse,r2
synthetic_data_0_15M,9,1.117199420928955,1.3894424438476562,0.954544186592102
synthetic_data_0_15M,7,0.9876853227615356,1.2316378355026245,0.9635819792747498
synthetic_data_0_15M,6,0.9832942485809326,1.229714035987854,0.9637049436569214
synthetic_data_0_15M,1,1.1137937307357788,1.4110102653503418,0.9534487724304199
synthetic_data_0_15M,10,0.9782222509384155,1.2205978631973267,0.9642508029937744
synthetic_data_0_15M,8,1.000670313835144,1.2468734979629517,0.9629887938499451
synthetic_data_0_15M,4,1.0274224281311035,1.2914446592330933,0.9603495001792908
synthetic_data_0_15M,3,1.03666353225708,1.3016685247421265,0.9596312642097473
synthetic_data_0_15M,2,1.205245018005371,1.475318193435669,0.9484125971794128
synthetic_data_0_15M,5,0.9774912595748901,1.235398292541504,0.9636511206626892
