dataset,mae_mean_1,mae_IC_95_low_1,mae_IC_95_high_1,mae_std_1,rmse_mean_1,rmse_IC_95_low_1,rmse_IC_95_high_1,rmse_std_1,r2_mean_1,r2_IC_95_low_1,r2_IC_95_high_1,r2_std_1,mae_mean_2,mae_IC_95_low_2,mae_IC_95_high_2,mae_std_2,rmse_mean_2,rmse_IC_95_low_2,rmse_IC_95_high_2,rmse_std_2,r2_mean_2,r2_IC_95_low_2,r2_IC_95_high_2,r2_std_2,mae_mean_3,mae_IC_95_low_3,mae_IC_95_high_3,mae_std_3,rmse_mean_3,rmse_IC_95_low_3,rmse_IC_95_high_3,rmse_std_3,r2_mean_3,r2_IC_95_low_3,r2_IC_95_high_3,r2_std_3,mae_mean_4,mae_IC_95_low_4,mae_IC_95_high_4,mae_std_4,rmse_mean_4,rmse_IC_95_low_4,rmse_IC_95_high_4,rmse_std_4,r2_mean_4,r2_IC_95_low_4,r2_IC_95_high_4,r2_std_4,mae_mean_5,mae_IC_95_low_5,mae_IC_95_high_5,mae_std_5,rmse_mean_5,rmse_IC_95_low_5,rmse_IC_95_high_5,rmse_std_5,r2_mean_5,r2_IC_95_low_5,r2_IC_95_high_5,r2_std_5,mae_mean_6,mae_IC_95_low_6,mae_IC_95_high_6,mae_std_6,rmse_mean_6,rmse_IC_95_low_6,rmse_IC_95_high_6,rmse_std_6,r2_mean_6,r2_IC_95_low_6,r2_IC_95_high_6,r2_std_6,mae_mean_7,mae_IC_95_low_7,mae_IC_95_high_7,mae_std_7,rmse_mean_7,rmse_IC_95_low_7,rmse_IC_95_high_7,rmse_std_7,r2_mean_7,r2_IC_95_low_7,r2_IC_95_high_7,r2_std_7,mae_mean_8,mae_IC_95_low_8,mae_IC_95_high_8,mae_std_8,rmse_mean_8,rmse_IC_95_low_8,rmse_IC_95_high_8,rmse_std_8,r2_mean_8,r2_IC_95_low_8,r2_IC_95_high_8,r2_std_8,mae_mean_9,mae_IC_95_low_9,mae_IC_95_high_9,mae_std_9,rmse_mean_9,rmse_IC_95_low_9,rmse_IC_95_high_9,rmse_std_9,r2_mean_9,r2_IC_95_low_9,r2_IC_95_high_9,r2_std_9,mae_mean_10,mae_IC_95_low_10,mae_IC_95_high_10,mae_std_10,rmse_mean_10,rmse_IC_95_low_10,rmse_IC_95_high_10,rmse_std_10,r2_mean_10,r2_IC_95_low_10,r2_IC_95_high_10,r2_std_10,mae_mean_11,mae_IC_95_low_11,mae_IC_95_high_11,mae_std_11,rmse_mean_11,rmse_IC_95_low_11,rmse_IC_95_high_11,rmse_std_11,r2_mean_11,r2_IC_95_low_11,r2_IC_95_high_11,r2_std_11,mae_mean_12,mae_IC_95_low_12,mae_IC_95_high_12,mae_std_12,rmse_mean_12,rmse_IC_95_low_12,rmse_IC_95_high_12,rmse_std_12,r2_mean_12,r2_IC_95_low_12,r2_IC_95_high_12,r2_std_12,mae_mean_13,mae_IC_95_low_13,mae_IC_95_high_13,mae_std_13,rmse_mean_13,rmse_IC_95_low_13,rmse_IC_95_high_13,rmse_std_13,r2_mean_13,r2_IC_95_low_13,r2_IC_95_high_13,r2_std_13
1,11.284331321716309,,,,12.407110214233398,,,,-1.82968008518219,,,,12.584592819213867,,,,13.865385055541992,,,,-2.317157030105591,,,,12.841497421264648,,,,14.207161903381348,,,,-2.208791732788086,,,,13.093652725219728,,,,14.81078052520752,,,,-1.9432599544525144,,,,13.715473175048828,,,,15.481474876403809,,,,-2.2385828495025635,,,,14.890175819396973,,,,17.07164192199707,,,,-2.330113410949707,,,,15.869009971618652,,,,18.223896026611328,,,,-2.410943031311035,,,,16.770586013793945,,,,18.883909225463867,,,,-2.9567134380340576,,,,17.530986785888672,,,,19.389225006103516,,,,-3.3877227306365967,,,,17.76539421081543,,,,19.549457550048828,,,,-3.6607096195220943,,,,18.655065536499023,,,,20.512496948242188,,,,-3.6902239322662354,,,,19.138988494873047,,,,21.116199493408203,,,,-3.630790948867798,,,,19.403892517089844,,,,21.410396575927734,,,,-3.644122362136841,,,
2,9.408196449279783,,,,10.896764755249023,,,,-1.1678214073181152,,,,12.811441421508787,,,,14.654781341552734,,,,-2.6772661209106445,,,,13.378252029418944,,,,15.336483001708984,,,,-2.7230782508850098,,,,13.41879653930664,,,,15.815070152282717,,,,-2.3302159309387207,,,,13.650442123413086,,,,16.036895751953125,,,,-2.4475502967834473,,,,14.409948348999023,,,,17.187715530395508,,,,-2.334984302520752,,,,14.889820098876951,,,,17.884723663330078,,,,-2.2561872005462646,,,,15.347176551818848,,,,18.110597610473633,,,,-2.598964214324951,,,,15.68491554260254,,,,18.17015838623047,,,,-2.826003074645996,,,,15.51637840270996,,,,17.954370498657227,,,,-2.901611804962158,,,,16.019376754760742,,,,18.544248580932617,,,,-2.8252344131469727,,,,16.129650115966797,,,,18.823657989501953,,,,-2.6710762977600098,,,,16.031457901000977,,,,18.796289443969727,,,,-2.574451208114624,,,
3,5.165736675262451,,,,6.564579486846924,,,,0.2319968789815902,,,,10.495203018188477,,,,12.785634994506836,,,,-1.7714464664459229,,,,12.216001510620115,,,,14.535120010375977,,,,-2.337116003036499,,,,12.621634483337402,,,,15.351829528808594,,,,-2.129034996032715,,,,13.154906272888184,,,,15.789678573608398,,,,-2.3343021869659424,,,,14.252486228942873,,,,17.176532745361328,,,,-2.3206069469451904,,,,14.990111351013184,,,,18.0915470123291,,,,-2.3266754150390625,,,,15.704280853271484,,,,18.522554397583008,,,,-2.7596242427825928,,,,16.263147354125977,,,,18.764049530029297,,,,-3.078557014465332,,,,16.281509399414062,,,,18.70692253112793,,,,-3.232775926589966,,,,16.940446853637695,,,,19.423404693603516,,,,-3.1952719688415527,,,,17.179370880126953,,,,19.80344581604004,,,,-3.061577081680298,,,,17.18580436706543,,,,19.85975456237793,,,,-2.9895293712615967,,,
4,5.04101037979126,,,,6.41339111328125,,,,0.264818787574768,,,,10.697686195373535,,,,12.875082015991213,,,,-1.811610221862793,,,,12.721570014953612,,,,14.925597190856934,,,,-2.519390344619751,,,,13.578816413879396,,,,16.120262145996094,,,,-2.4522814750671387,,,,14.574841499328612,,,,16.97218132019043,,,,-2.855027914047241,,,,16.03780746459961,,,,18.72854995727539,,,,-2.961836814880371,,,,17.265178680419922,,,,20.013795852661133,,,,-3.0840227603912354,,,,18.3950252532959,,,,20.853710174560547,,,,-3.782837152481079,,,,19.371234893798828,,,,21.517391204833984,,,,-4.377963066101074,,,,19.812339782714844,,,,21.85340118408203,,,,-4.786062717437744,,,,20.901548385620117,,,,22.96464157104492,,,,-4.864941120147705,,,,21.57914352416992,,,,23.726806640625,,,,-4.829321384429932,,,,22.0328369140625,,,,24.18234062194824,,,,-4.914442539215088,,,
5,7.329075336456299,,,,8.741700172424316,,,,-0.3911441564559936,,,,10.645511627197266,,,,12.50609302520752,,,,-1.6750730276107788,,,,12.075319290161133,,,,13.949021339416504,,,,-2.0862884521484375,,,,13.032915115356444,,,,15.220843315124512,,,,-2.0972397327423096,,,,14.158310890197754,,,,16.259916305541992,,,,-2.5593271255493164,,,,15.73671531677246,,,,18.169404983520508,,,,-2.7582929134368896,,,,17.061012268066406,,,,19.59467124938965,,,,-2.9377195835113525,,,,18.27001190185547,,,,20.532201766967773,,,,-3.667107343673706,,,,19.31062126159668,,,,21.28699493408203,,,,-4.284132957458496,,,,19.80421257019043,,,,21.687454223632812,,,,-4.722754955291748,,,,20.93624496459961,,,,22.864198684692383,,,,-4.821568489074707,,,,21.64878273010254,,,,23.67087173461914,,,,-4.809555530548096,,,,22.130956649780273,,,,24.165462493896484,,,,-4.909679412841797,,,
6,6.888620376586914,,,,8.207559585571289,,,,-0.2265323102474212,,,,8.49937629699707,,,,10.05306911468506,,,,-0.7241185903549194,,,,8.918170928955078,,,,10.427172660827637,,,,-0.7215849161148071,,,,9.160003662109377,,,,10.938620567321776,,,,-0.5968384742736816,,,,9.607549667358398,,,,11.393656730651855,,,,-0.7468999624252319,,,,10.6176118850708,,,,12.72607707977295,,,,-0.8232671618461609,,,,11.16097640991211,,,,13.595876693725586,,,,-0.8725448846817017,,,,11.703640937805176,,,,13.854528427124023,,,,-1.1024365425109863,,,,12.085472106933594,,,,14.01064395904541,,,,-1.2694443464279177,,,,11.9268217086792,,,,13.7891845703125,,,,-1.3041796684265137,,,,12.414010047912598,,,,14.410996437072754,,,,-1.3118380308151243,,,,12.48878002166748,,,,14.70849895477295,,,,-1.247142672538757,,,,12.3399658203125,,,,14.639915466308594,,,,-1.173305630683899,,,
7,5.742834568023682,,,,7.074951171875,,,,0.0902554765343666,,,,7.156245708465576,,,,8.56743335723877,,,,-0.2491624653339386,,,,7.496534824371338,,,,8.904991149902344,,,,-0.2553266882896423,,,,7.503967761993408,,,,9.222725868225098,,,,-0.1338429003953933,,,,7.790234088897705,,,,9.548242568969728,,,,-0.2257974445819854,,,,8.689485549926758,,,,10.75649070739746,,,,-0.2915847599506378,,,,8.990344047546387,,,,11.504169464111328,,,,-0.3280943632125854,,,,9.419084548950195,,,,11.55385971069336,,,,-0.4468461871147156,,,,9.55491065979004,,,,11.554251670837402,,,,-0.5331012010574341,,,,9.239113807678224,,,,11.131406784057615,,,,-0.4922186434268951,,,,9.415918350219728,,,,11.60484218597412,,,,-0.4966850578784942,,,,9.34607982635498,,,,11.79730987548828,,,,-0.4443716406822204,,,,9.065688133239746,,,,11.560907363891602,,,,-0.3563211560249328,,,
8,4.829446792602539,,,,5.929127216339111,,,,0.3630073368549347,,,,6.371071815490723,,,,7.5024871826171875,,,,0.048955850303173,,,,7.181777477264404,,,,8.31572437286377,,,,-0.0898890271782875,,,,7.944260597229004,,,,9.25563621520996,,,,-0.1378654241561889,,,,9.009041786193848,,,,10.369218826293944,,,,-0.442622423171997,,,,10.5803804397583,,,,12.295330047607422,,,,-0.6968658566474915,,,,11.908783912658691,,,,13.779290199279783,,,,-0.9165663719177246,,,,13.133124351501465,,,,14.722434997558594,,,,-1.370936155319214,,,,14.190817832946776,,,,15.640172958374023,,,,-1.8262261152267456,,,,14.703625679016112,,,,16.080303192138672,,,,-2.127249002456665,,,,15.854331970214844,,,,17.31513786315918,,,,-2.3319191932678223,,,,16.585521697998047,,,,18.217079162597656,,,,-2.4395411014556885,,,,17.11265754699707,,,,18.76112937927246,,,,-2.56300687789917,,,
9,5.817880630493164,,,,7.000151634216309,,,,0.1090950816869735,,,,7.110844135284424,,,,8.442776679992676,,,,-0.2100785225629806,,,,7.641047477722168,,,,8.977180480957031,,,,-0.2752560377120971,,,,7.981767177581787,,,,9.562701225280762,,,,-0.2203698605298996,,,,8.604874610900879,,,,10.270854949951172,,,,-0.4208076000213623,,,,9.84552764892578,,,,11.833860397338867,,,,-0.5749722123146057,,,,10.679203033447266,,,,12.97135066986084,,,,-0.700369119644165,,,,11.510011672973633,,,,13.491827964782717,,,,-0.9915854334831238,,,,12.20155143737793,,,,13.973047256469728,,,,-1.25543475151062,,,,12.436887741088867,,,,14.054837226867676,,,,-1.3913094997406006,,,,13.319411277770996,,,,14.985033988952637,,,,-1.497145652770996,,,,13.787874221801758,,,,15.582677841186523,,,,-1.5198100805282593,,,,14.030969619750977,,,,15.813870429992676,,,,-1.534300446510315,,,
10,3.264676809310913,,,,3.968739509582519,,,,0.7162378430366516,,,,4.237523078918457,,,,4.983796119689941,,,,0.5926896333694458,,,,4.832935333251953,,,,5.797829627990723,,,,0.4746326804161072,,,,5.336923599243164,,,,6.65588903427124,,,,0.4173333942890167,,,,6.3621320724487305,,,,7.785484790802002,,,,0.1909763514995575,,,,7.842319965362549,,,,9.61097240447998,,,,-0.0216697491705417,,,,9.01345920562744,,,,11.07573699951172,,,,-0.2242290824651718,,,,10.166606903076172,,,,11.900458335876465,,,,-0.5311430096626282,,,,11.12401294708252,,,,12.765883445739746,,,,-0.870668351650238,,,,11.585426330566406,,,,13.069632530212402,,,,-1.0554757118225098,,,,12.698073387145996,,,,14.320685386657717,,,,-1.276769995689392,,,,13.396886825561523,,,,15.249648094177246,,,,-1.4075839519500732,,,,13.86794376373291,,,,15.724172592163086,,,,-1.5024443864822388,,,
