dataset,fold,mae,rmse,r2
papaiz_3M,9,1.2758585214614868,1.7773430347442627,0.8949697017669678
papaiz_3M,7,1.4350227117538452,1.8755344152450562,0.8835145831108093
papaiz_3M,6,1.3033219575881958,1.77130126953125,0.8956727385520935
papaiz_3M,1,1.32774019241333,1.7879096269607544,0.8935432434082031
papaiz_3M,10,1.2668589353561401,1.7760472297668457,0.8951880931854248
papaiz_3M,8,1.5097064971923828,1.9416308403015137,0.8760411739349365
papaiz_3M,4,1.2666813135147095,1.779964566230774,0.8946592807769775
papaiz_3M,3,1.2939739227294922,1.7624564170837402,0.8965520262718201
papaiz_3M,2,1.3090850114822388,1.7750838994979858,0.8950214982032776
papaiz_3M,5,1.273318886756897,1.785621166229248,0.8941150307655334
