dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12
train,9,6.069010257720947,6.119462966918945,-2.976511240005493,8.696463584899902,8.822223663330078,-7.277059078216553,10.788909912109375,10.966269493103027,-11.794793128967285,13.241162300109863,13.420068740844727,-18.147289276123047,16.43337631225586,16.591503143310547,-28.235368728637695,20.260150909423828,20.386741638183594,-43.08985900878906,24.347145080566406,24.46107292175293,-62.43462371826172,27.476634979248047,27.584814071655273,-79.6441879272461,29.567779541015625,29.67879867553711,-92.34261322021484,30.608638763427734,30.724348068237305,-99.03331756591797,31.283174514770508,31.401094436645508,-103.48636627197266,31.777467727661133,31.895586013793945,-106.79967498779297
train,7,6.1924309730529785,6.245120525360107,-3.1417391300201416,8.4166259765625,8.536343574523926,-6.749191761016846,9.85396671295166,10.031181335449219,-9.71008586883545,11.968911170959473,12.145467758178711,-14.688634872436523,15.130647659301758,15.278310775756836,-23.79286766052246,19.065547943115234,19.17591094970703,-38.003448486328125,23.428592681884766,23.52066993713379,-57.63224792480469,26.806106567382812,26.889123916625977,-75.59754943847656,29.16584587097168,29.249452590942383,-89.62284851074219,30.594911575317383,30.680957794189453,-98.70465087890625,31.425458908081055,31.514511108398438,-104.1929931640625,31.862333297729492,31.954641342163086,-107.15283966064453
train,6,6.516520023345947,6.590611457824707,-3.6160709857940674,9.321247100830078,9.480072021484375,-8.562908172607422,10.125479698181152,10.340964317321777,-10.388993263244629,11.981527328491211,12.18896198272705,-14.809335708618164,14.948877334594727,15.120504379272461,-23.292800903320312,18.62801742553711,18.76279640197754,-36.3565673828125,22.647920608520508,22.75913429260254,-53.916465759277344,25.812755584716797,25.916439056396484,-70.18499755859375,27.802959442138672,27.90880584716797,-81.5420913696289,28.938274383544922,29.044912338256836,-88.3924331665039,29.685518264770508,29.792011260986328,-93.04480743408203,30.20740509033203,30.31336212158203,-96.36053466796875
train,1,6.010870456695557,6.266304969787598,-3.1972107887268066,7.737020015716553,8.083517074584961,-5.9866719245910645,5.900687217712402,6.31044864654541,-3.272430896759033,5.39710807800293,5.807682037353516,-2.620833158493042,6.878832817077637,7.236323356628418,-4.606257915496826,9.6336088180542,9.944357872009277,-9.554680824279785,12.902056694030762,13.192144393920898,-17.54128646850586,15.855781555175781,16.1195011138916,-26.647197723388672,18.123640060424805,18.364032745361328,-34.85210418701172,19.80178451538086,20.024465560913086,-41.60462188720703,21.002090454101562,21.21134376525879,-46.786502838134766,21.78303337097168,21.983325958251953,-50.31562805175781
train,10,5.321748733520508,5.380727767944336,-2.0767362117767334,7.935685157775879,8.115320205688477,-6.015890121459961,10.267045021057129,10.484308242797852,-10.706679344177246,12.877426147460938,13.082091331481934,-17.205158233642578,16.23504638671875,16.41107177734375,-27.612106323242188,20.24384307861328,20.381240844726562,-43.074241638183594,24.413806915283203,24.533771514892578,-62.81463623046875,27.826412200927734,27.93747329711914,-81.71484375,30.423879623413086,30.52635383605957,-97.72561645507812,32.23532485961914,32.33154296875,-109.72637939453125,33.2851448059082,33.38267517089844,-117.04210662841797,33.705379486083984,33.80782699584961,-120.07373809814453
train,8,6.213996410369873,6.270484924316406,-3.1761860847473145,8.599902153015137,8.746635437011719,-7.14059591293335,10.546565055847168,10.749235153198242,-11.300728797912598,12.8353853225708,13.033344268798828,-17.06772804260254,15.81089973449707,15.982280731201172,-26.136045455932617,19.235082626342773,19.381837844848633,-38.866615295410156,23.14449119567871,23.279624938964844,-56.47866439819336,26.145605087280273,26.272825241088867,-72.18193817138672,28.344242095947266,28.469335556030273,-84.9131088256836,29.655000686645508,29.782161712646484,-93.01341247558594,30.442588806152344,30.572412490844727,-98.06700897216797,30.94077491760254,31.071073532104492,-101.3220443725586
train,4,5.950237274169922,6.059723854064941,-2.908318042755127,8.162161827087402,8.374005317687988,-6.47454833984375,8.396503448486328,8.665679931640625,-7.013251781463623,9.740324974060059,10.01101303100586,-9.68691349029541,12.680769920349121,12.898822784423828,-16.70382308959961,16.2470760345459,16.418291091918945,-27.633176803588867,20.422691345214844,20.558181762695312,-43.837642669677734,23.488109588623047,23.614458084106445,-58.132591247558594,25.637380599975586,25.76681900024414,-69.39413452148438,27.005048751831055,27.138099670410156,-77.08151245117188,27.910017013549805,28.045358657836914,-82.38611602783203,28.520370483398438,28.65631103515625,-86.05500793457031
train,3,6.826473712921143,6.964152812957764,-4.163824558258057,9.486109733581543,9.720878601074219,-9.070076942443848,8.432145118713379,8.743382453918457,-7.163604259490967,8.92513370513916,9.2208890914917,-8.074584007263184,11.416763305664062,11.610368728637695,-13.342303276062012,14.415679931640625,14.564070701599121,-21.52606773376465,17.413043975830078,17.601240158081055,-31.911584854125977,20.246231079101562,20.44357681274414,-43.38783645629883,22.582839965820312,22.765174865722656,-54.01280212402344,24.15505599975586,24.321395874023438,-61.764373779296875,25.164941787719727,25.31894874572754,-66.9977798461914,25.813827514648438,25.958385467529297,-70.45980072021484
train,2,6.549590587615967,6.741128921508789,-3.846242666244507,8.424195289611816,8.718331336975098,-7.113887310028076,6.807900428771973,7.168691635131836,-4.502121448516846,6.5329508781433105,6.905128002166748,-4.107510089874268,8.264902114868164,8.577047348022461,-6.857750415802002,11.060168266296387,11.327964782714844,-12.6754789352417,14.42448902130127,14.675716400146484,-21.91961669921875,17.54827880859375,17.779808044433594,-32.60567855834961,19.883432388305664,20.09601402282715,-41.9022331237793,21.554922103881836,21.753089904785156,-49.24674606323242,22.713699340820312,22.90190315246582,-54.67792892456055,23.410511016845703,23.593067169189453,-58.07938003540039
train,5,6.106185436248779,6.188934803009033,-3.0727078914642334,8.621628761291504,8.801483154296875,-7.2494215965271,9.15440845489502,9.38767147064209,-8.3935546875,10.74830436706543,10.979084014892578,-11.838067054748535,13.638335227966309,13.808450698852539,-19.264873504638672,17.18123435974121,17.312252044677734,-30.807466506958008,21.23052978515625,21.3452091217041,-47.31557846069336,24.366548538208008,24.47412109375,-62.49508285522461,26.338937759399414,26.449922561645508,-73.15251159667969,27.538082122802734,27.649805068969727,-80.02527618408203,28.36016845703125,28.471210479736328,-84.90399169921875,28.95118522644043,29.06121826171875,-88.4948959350586
