dataset,fold,mae,rmse,r2
synthetic_data_0_15M,9,1.1270463466644287,1.3820074796676636,0.9529489874839783
synthetic_data_0_15M,7,0.9252470135688782,1.1686965227127075,0.9671471118927002
synthetic_data_0_15M,6,1.0263313055038452,1.2666083574295044,0.9614225029945374
synthetic_data_0_15M,1,1.2077118158340454,1.531062126159668,0.9382836818695068
synthetic_data_0_15M,10,1.1211984157562256,1.3880008459091187,0.9517907500267029
synthetic_data_0_15M,8,1.0319052934646606,1.2819730043411255,0.9594379663467407
synthetic_data_0_15M,4,0.9740877151489258,1.2337775230407715,0.9639322757720947
synthetic_data_0_15M,3,1.0083627700805664,1.2723515033721924,0.9601388573646545
synthetic_data_0_15M,2,1.094451904296875,1.3756675720214844,0.9530355930328369
synthetic_data_0_15M,5,0.9466362595558167,1.1964166164398193,0.9657365679740906
