dataset,mae_mean_1,mae_IC_95_low_1,mae_IC_95_high_1,mae_std_1,rmse_mean_1,rmse_IC_95_low_1,rmse_IC_95_high_1,rmse_std_1,r2_mean_1,r2_IC_95_low_1,r2_IC_95_high_1,r2_std_1,mae_mean_2,mae_IC_95_low_2,mae_IC_95_high_2,mae_std_2,rmse_mean_2,rmse_IC_95_low_2,rmse_IC_95_high_2,rmse_std_2,r2_mean_2,r2_IC_95_low_2,r2_IC_95_high_2,r2_std_2,mae_mean_3,mae_IC_95_low_3,mae_IC_95_high_3,mae_std_3,rmse_mean_3,rmse_IC_95_low_3,rmse_IC_95_high_3,rmse_std_3,r2_mean_3,r2_IC_95_low_3,r2_IC_95_high_3,r2_std_3,mae_mean_4,mae_IC_95_low_4,mae_IC_95_high_4,mae_std_4,rmse_mean_4,rmse_IC_95_low_4,rmse_IC_95_high_4,rmse_std_4,r2_mean_4,r2_IC_95_low_4,r2_IC_95_high_4,r2_std_4,mae_mean_5,mae_IC_95_low_5,mae_IC_95_high_5,mae_std_5,rmse_mean_5,rmse_IC_95_low_5,rmse_IC_95_high_5,rmse_std_5,r2_mean_5,r2_IC_95_low_5,r2_IC_95_high_5,r2_std_5,mae_mean_6,mae_IC_95_low_6,mae_IC_95_high_6,mae_std_6,rmse_mean_6,rmse_IC_95_low_6,rmse_IC_95_high_6,rmse_std_6,r2_mean_6,r2_IC_95_low_6,r2_IC_95_high_6,r2_std_6,mae_mean_7,mae_IC_95_low_7,mae_IC_95_high_7,mae_std_7,rmse_mean_7,rmse_IC_95_low_7,rmse_IC_95_high_7,rmse_std_7,r2_mean_7,r2_IC_95_low_7,r2_IC_95_high_7,r2_std_7,mae_mean_8,mae_IC_95_low_8,mae_IC_95_high_8,mae_std_8,rmse_mean_8,rmse_IC_95_low_8,rmse_IC_95_high_8,rmse_std_8,r2_mean_8,r2_IC_95_low_8,r2_IC_95_high_8,r2_std_8,mae_mean_9,mae_IC_95_low_9,mae_IC_95_high_9,mae_std_9,rmse_mean_9,rmse_IC_95_low_9,rmse_IC_95_high_9,rmse_std_9,r2_mean_9,r2_IC_95_low_9,r2_IC_95_high_9,r2_std_9,mae_mean_10,mae_IC_95_low_10,mae_IC_95_high_10,mae_std_10,rmse_mean_10,rmse_IC_95_low_10,rmse_IC_95_high_10,rmse_std_10,r2_mean_10,r2_IC_95_low_10,r2_IC_95_high_10,r2_std_10,mae_mean_11,mae_IC_95_low_11,mae_IC_95_high_11,mae_std_11,rmse_mean_11,rmse_IC_95_low_11,rmse_IC_95_high_11,rmse_std_11,r2_mean_11,r2_IC_95_low_11,r2_IC_95_high_11,r2_std_11,mae_mean_12,mae_IC_95_low_12,mae_IC_95_high_12,mae_std_12,rmse_mean_12,rmse_IC_95_low_12,rmse_IC_95_high_12,rmse_std_12,r2_mean_12,r2_IC_95_low_12,r2_IC_95_high_12,r2_std_12,mae_mean_13,mae_IC_95_low_13,mae_IC_95_high_13,mae_std_13,rmse_mean_13,rmse_IC_95_low_13,rmse_IC_95_high_13,rmse_std_13,r2_mean_13,r2_IC_95_low_13,r2_IC_95_high_13,r2_std_13
1,2.7659249305725098,,,,3.260967493057251,,,,0.8076884746551514,,,,8.35288143157959,,,,8.785204887390137,,,,-0.3047963380813598,,,,11.607077598571776,,,,12.154427528381348,,,,-1.3218039274215698,,,,13.722738265991213,,,,14.374260902404783,,,,-1.7433606386184692,,,,15.529970169067385,,,,16.47260093688965,,,,-2.637070655822754,,,,17.458269119262695,,,,18.545265197753903,,,,-2.922344446182251,,,,18.91045570373535,,,,20.05396270751953,,,,-3.1264772415161133,,,,20.108247756958008,,,,21.15605926513672,,,,-3.98280668258667,,,,21.054363250732425,,,,22.15213966369629,,,,-4.745460033416748,,,,21.407230377197266,,,,22.385704040527344,,,,-5.1222429275512695,,,,22.376625061035156,,,,23.433568954467773,,,,-5.118056774139404,,,,22.92076301574707,,,,24.24585723876953,,,,-5.102023601531982,,,,23.239013671875,,,,24.65177345275879,,,,-5.156064033508301,,,
2,3.310668468475342,,,,3.7424237728118896,,,,0.7431808114051819,,,,9.024681091308594,,,,9.46798324584961,,,,-0.5210885405540466,,,,12.350464820861816,,,,12.942419052124023,,,,-1.633844256401062,,,,14.560748100280762,,,,15.245920181274414,,,,-2.0869052410125732,,,,16.45518684387207,,,,17.4370174407959,,,,-3.07531476020813,,,,18.460161209106445,,,,19.555234909057617,,,,-3.3640692234039307,,,,19.98050308227539,,,,21.090269088745117,,,,-3.565528631210327,,,,21.239574432373047,,,,22.269304275512695,,,,-4.516249179840088,,,,22.239782333374023,,,,23.329296112060547,,,,-5.3711042404174805,,,,22.63892936706543,,,,23.589035034179688,,,,-5.793137073516846,,,,23.647010803222656,,,,24.664976119995117,,,,-5.77564001083374,,,,24.2216854095459,,,,25.492115020751953,,,,-5.742770195007324,,,,24.560710906982425,,,,25.936540603637695,,,,-5.813149929046631,,,
3,2.741971254348755,,,,3.236553430557251,,,,0.809312641620636,,,,8.03732681274414,,,,8.4557466506958,,,,-0.2030442953109741,,,,11.186975479125977,,,,11.74351978302002,,,,-1.1625242233276367,,,,13.18651294708252,,,,13.868319511413574,,,,-1.541484832763672,,,,14.884551048278809,,,,15.906874656677246,,,,-2.371551990509033,,,,16.716060638427734,,,,17.88024139404297,,,,-2.601559638977051,,,,18.09402084350586,,,,19.352685928344727,,,,-2.7967255115509033,,,,19.24474334716797,,,,20.462060928344727,,,,-3.598837375640869,,,,20.168149948120117,,,,21.47640609741211,,,,-4.351990222930908,,,,20.515541076660156,,,,21.717723846435547,,,,-4.706545829772949,,,,21.489330291748047,,,,22.821792602539062,,,,-4.784749507904053,,,,22.041019439697266,,,,23.69031524658203,,,,-4.807256698608398,,,,22.363357543945312,,,,24.092288970947266,,,,-4.87056827545166,,,
4,2.7226805686950684,,,,3.225486993789673,,,,0.8096500635147095,,,,7.9231462478637695,,,,8.370494842529297,,,,-0.1841918230056762,,,,11.058051109313965,,,,11.648001670837402,,,,-1.1299519538879397,,,,13.061959266662598,,,,13.77435302734375,,,,-1.513371467590332,,,,14.773136138916016,,,,15.83774471282959,,,,-2.3517324924468994,,,,16.622596740722656,,,,17.832826614379883,,,,-2.6028475761413574,,,,18.01866340637207,,,,19.282773971557617,,,,-2.789670467376709,,,,19.17761611938477,,,,20.400781631469727,,,,-3.596916913986206,,,,20.093721389770508,,,,21.402881622314453,,,,-4.331390380859375,,,,20.41946792602539,,,,21.617748260498047,,,,-4.673438549041748,,,,21.3619384765625,,,,22.65700340270996,,,,-4.706485271453857,,,,21.878093719482425,,,,23.468107223510746,,,,-4.703897476196289,,,,22.16501235961914,,,,23.832746505737305,,,,-4.74682092666626,,,
5,3.11637020111084,,,,3.568509817123413,,,,0.7663041353225708,,,,8.458786964416504,,,,8.90935230255127,,,,-0.3414203524589538,,,,11.705239295959473,,,,12.31922721862793,,,,-1.3824678659439087,,,,13.823819160461426,,,,14.558388710021973,,,,-1.8072047233581543,,,,15.647786140441896,,,,16.704381942749023,,,,-2.7290139198303223,,,,17.61854362487793,,,,18.80736541748047,,,,-3.0068843364715576,,,,19.141536712646484,,,,20.387056350708008,,,,-3.232672929763794,,,,20.42705535888672,,,,21.591211318969727,,,,-4.138298988342285,,,,21.4616756439209,,,,22.69510078430176,,,,-4.98796272277832,,,,21.894834518432617,,,,22.993762969970703,,,,-5.4051899909973145,,,,22.932018280029297,,,,24.110618591308594,,,,-5.458040237426758,,,,23.529279708862305,,,,24.95748519897461,,,,-5.445836544036865,,,,23.887025833129883,,,,25.373676300048828,,,,-5.511453628540039,,,
6,2.9603097438812256,,,,3.408020496368408,,,,0.7867980003356934,,,,7.820135593414307,,,,8.281148910522461,,,,-0.1578859686851501,,,,10.95000457763672,,,,11.53745460510254,,,,-1.0898200273513794,,,,13.02031707763672,,,,13.70696258544922,,,,-1.491264820098877,,,,14.811670303344728,,,,15.807909965515137,,,,-2.344522476196289,,,,16.732128143310547,,,,17.873920440673828,,,,-2.6295430660247803,,,,18.177019119262695,,,,19.366376876831055,,,,-2.834409475326538,,,,19.37067985534668,,,,20.49337387084961,,,,-3.65680193901062,,,,20.319091796875,,,,21.476394653320312,,,,-4.38359260559082,,,,20.680503845214844,,,,21.69990921020508,,,,-4.737844467163086,,,,21.662277221679688,,,,22.784284591674805,,,,-4.77799129486084,,,,22.218767166137695,,,,23.63386344909668,,,,-4.791382789611816,,,,22.543764114379883,,,,24.01778984069824,,,,-4.840362548828125,,,
7,3.0642573833465576,,,,3.5088510513305664,,,,0.774783194065094,,,,8.031189918518066,,,,8.47039794921875,,,,-0.2107498049736023,,,,11.150094032287598,,,,11.711877822875977,,,,-1.1535075902938845,,,,13.17758083343506,,,,13.85211944580078,,,,-1.541980862617493,,,,14.925455093383787,,,,15.900447845458984,,,,-2.379406213760376,,,,16.817909240722656,,,,17.936203002929688,,,,-2.641394853591919,,,,18.252382278442383,,,,19.408613204956055,,,,-2.8376479148864746,,,,19.44037628173828,,,,20.52991104125977,,,,-3.6514077186584473,,,,20.37265396118164,,,,21.491025924682617,,,,-4.3747382164001465,,,,20.70129776000977,,,,21.681888580322266,,,,-4.706150531768799,,,,21.63628387451172,,,,22.74730682373047,,,,-4.751111030578613,,,,22.136295318603516,,,,23.56610679626465,,,,-4.749357223510742,,,,22.400062561035156,,,,23.917783737182617,,,,-4.786642074584961,,,
8,3.0111470222473145,,,,3.448693037033081,,,,0.7815538048744202,,,,7.792430877685547,,,,8.259430885314941,,,,-0.1511687338352203,,,,10.873966217041016,,,,11.495863914489746,,,,-1.0742690563201904,,,,12.87501335144043,,,,13.604292869567873,,,,-1.4545276165008545,,,,14.59716510772705,,,,15.677382469177246,,,,-2.2915022373199463,,,,16.46302032470703,,,,17.691801071166992,,,,-2.5590291023254395,,,,17.877260208129883,,,,19.173728942871097,,,,-2.757855176925659,,,,19.06169319152832,,,,20.296491622924805,,,,-3.5647387504577637,,,,20.011474609375,,,,21.29961585998535,,,,-4.290576457977295,,,,20.376014709472656,,,,21.52170753479004,,,,-4.635366916656494,,,,21.35654640197754,,,,22.613178253173828,,,,-4.687826156616211,,,,21.905075073242188,,,,23.44577407836914,,,,-4.695857048034668,,,,22.219701766967773,,,,23.812549591064453,,,,-4.7386474609375,,,
9,3.0922651290893555,,,,3.5489907264709473,,,,0.7689006924629211,,,,8.078448295593262,,,,8.500988006591797,,,,-0.2216391563415527,,,,11.139049530029297,,,,11.686113357543944,,,,-1.1458884477615356,,,,13.104718208312988,,,,13.784902572631836,,,,-1.522829294204712,,,,14.828519821166992,,,,15.803735733032228,,,,-2.346726417541504,,,,16.724746704101562,,,,17.84494972229004,,,,-2.6214988231658936,,,,18.18379592895508,,,,19.35972785949707,,,,-2.8391504287719727,,,,19.41231918334961,,,,20.501066207885746,,,,-3.6729073524475098,,,,20.399829864501953,,,,21.51938819885254,,,,-4.417449951171875,,,,20.798444747924805,,,,21.777061462402344,,,,-4.792699337005615,,,,21.814550399780273,,,,22.90570640563965,,,,-4.845049858093262,,,,22.40276527404785,,,,23.77494430541992,,,,-4.866672992706299,,,,22.759986877441406,,,,24.19965362548828,,,,-4.93223237991333,,,
10,3.2467567920684814,,,,3.6843361854553223,,,,0.7508464455604553,,,,8.355177879333496,,,,8.774595260620117,,,,-0.3013137578964233,,,,11.5740966796875,,,,12.115934371948242,,,,-1.3057307004928589,,,,13.68683624267578,,,,14.335018157958984,,,,-1.7259471416473389,,,,15.543010711669922,,,,16.47577667236328,,,,-2.633699893951416,,,,17.545284271240234,,,,18.597217559814453,,,,-2.931663751602173,,,,19.076168060302734,,,,20.153120040893555,,,,-3.157338380813598,,,,20.35038948059082,,,,21.374061584472656,,,,-4.06841516494751,,,,21.368946075439453,,,,22.43805503845215,,,,-4.879181861877441,,,,21.787961959838867,,,,22.728267669677734,,,,-5.289948463439941,,,,22.81783676147461,,,,23.881916046142575,,,,-5.34508752822876,,,,23.418603897094727,,,,24.78483009338379,,,,-5.36381721496582,,,,23.787012100219727,,,,25.24882698059082,,,,-5.450052738189697,,,
