dataset,fold,mae,rmse,r2
synthetic_data_0_15M,9,0.8666397929191589,1.102097988128662,0.9701188206672668
synthetic_data_0_15M,7,0.9417246580123901,1.1898999214172363,0.9655385613441467
synthetic_data_0_15M,6,0.9190744757652283,1.175940990447998,0.9653752446174622
synthetic_data_0_15M,1,1.141785740852356,1.4536343812942505,0.9460999369621277
synthetic_data_0_15M,10,0.8909716606140137,1.1363617181777954,0.9685913324356079
synthetic_data_0_15M,8,0.8913048505783081,1.1237502098083496,0.9695741534233093
synthetic_data_0_15M,4,0.9161922335624695,1.158669352531433,0.9677522778511047
synthetic_data_0_15M,3,0.9705179929733276,1.2354353666305542,0.9612769484519958
synthetic_data_0_15M,2,0.9828851222991943,1.2440516948699951,0.9633204936981201
synthetic_data_0_15M,5,1.021270513534546,1.3060630559921265,0.9555479884147644
