dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12
train,9,5.030022621154785,5.035154819488525,-1.5586278438568115,10.486804962158203,10.496072769165039,-10.117679595947266,12.201783180236816,12.209071159362793,-14.041769027709961,9.631441116333008,9.637595176696777,-8.372897148132324,3.6997506618499756,3.7152605056762695,-0.39387398958206177,2.151658058166504,2.190577268600464,0.5153262615203857,4.564882755279541,4.606873512268066,-1.1419932842254639,3.2086124420166016,3.3662588596343994,-0.1473115086555481,1.7151360511779785,2.0513744354248047,0.569230318069458,7.023092269897461,7.251234531402588,-4.328699111938477,11.17516040802002,11.308959007263184,-11.929190635681152,11.419800758361816,11.684281349182129,-12.835241317749023
train,7,4.779268264770508,4.783812046051025,-1.3095109462738037,10.035643577575684,10.044342041015625,-9.181239128112793,11.898252487182617,11.905637741088867,-13.303449630737305,9.586089134216309,9.592766761779785,-8.286019325256348,4.082906246185303,4.100820541381836,-0.6982228755950928,1.3141676187515259,1.3967773914337158,0.8021665811538696,3.235147476196289,3.316222667694092,-0.11138323694467545,1.5981374979019165,1.905024766921997,0.6294338703155518,2.96919846534729,3.3046321868896484,-0.11636512726545334,7.805396556854248,7.977999687194824,-5.443358421325684,11.081311225891113,11.194619178771973,-11.662726402282715,11.191922187805176,11.435494422912598,-12.244132995605469
train,6,4.803226947784424,4.807616233825684,-1.332542061805725,10.338595390319824,10.347420692443848,-9.804912567138672,12.590880393981934,12.598977088928223,-15.01803207397461,10.290505409240723,10.29745864868164,-9.700410842895508,4.522677421569824,4.537815570831299,-1.079092025756836,1.2295118570327759,1.3044164180755615,0.8274965286254883,3.625983953475952,3.684434413909912,-0.3709023594856262,2.4284162521362305,2.615339517593384,0.30572137236595154,2.0548391342163086,2.3782923221588135,0.42011573910713196,7.426640510559082,7.635581970214844,-4.906928539276123,11.602599143981934,11.741280555725098,-12.936789512634277,11.696878433227539,11.973678588867188,-13.529807090759277
train,1,4.939627170562744,4.946327209472656,-1.469266653060913,8.2274751663208,8.239035606384277,-5.851056098937988,8.492714881896973,8.505389213562012,-6.301419258117676,6.254327774047852,6.2733073234558105,-2.9731757640838623,2.866044759750366,2.9349663257598877,0.12781426310539246,1.0022212266921997,1.2139556407928467,0.8490056395530701,1.340917944908142,1.5901623964309692,0.7408459782600403,2.1894938945770264,2.441579818725586,0.3915805518627167,2.876652717590332,3.086660623550415,0.030797215178608894,3.491760730743408,3.6514575481414795,-0.35313406586647034,4.173885822296143,4.297281265258789,-0.870883584022522,5.326834201812744,5.43025541305542,-1.9837239980697632
train,10,5.066622734069824,5.071623802185059,-1.595795750617981,10.604905128479004,10.614054679870605,-10.368935585021973,12.34013843536377,12.34749698638916,-14.384746551513672,9.645997047424316,9.65225601196289,-8.401420593261719,3.4784862995147705,3.493042469024658,-0.23209340870380402,2.6140100955963135,2.6410183906555176,0.29596972465515137,5.334046363830566,5.361721038818359,-1.9005653858184814,4.317893028259277,4.405219078063965,-0.9603481888771057,1.1269220113754272,1.4678280353546143,0.7826064229011536,5.767213344573975,6.048946857452393,-2.713841438293457,10.271581649780273,10.42849063873291,-9.99950885772705,11.40215015411377,11.643370628356934,-12.727967262268066
train,8,5.179716110229492,5.185346603393555,-1.7135770320892334,10.792740821838379,10.803032875061035,-10.777643203735352,12.485464096069336,12.493735313415527,-14.751596450805664,9.784770965576172,9.791998863220215,-8.67585563659668,3.724837303161621,3.7415528297424316,-0.41373303532600403,2.349996566772461,2.3842849731445312,0.42598453164100647,5.070655345916748,5.103745937347412,-1.6284254789352417,4.06355094909668,4.166709899902344,-0.7546031475067139,1.206938624382019,1.55033278465271,0.7574686408042908,5.974412441253662,6.273749828338623,-2.9959895610809326,10.488862037658691,10.653708457946777,-10.480963706970215,11.596944808959961,11.835540771484375,-13.185781478881836
train,4,4.591573238372803,4.597437381744385,-1.1332221031188965,9.629608154296875,9.64118766784668,-8.38106632232666,11.242310523986816,11.252754211425781,-11.77867317199707,8.398090362548828,8.407225608825684,-6.133251667022705,2.3717281818389893,2.3965890407562256,0.41944268345832825,3.3314285278320312,3.350893974304199,-0.1329793483018875,5.483294486999512,5.503508567810059,-2.0557212829589844,3.7749621868133545,3.8439290523529053,-0.49244439601898193,1.2361012697219849,1.4911818504333496,0.7719603180885315,6.4047675132751465,6.546543121337891,-3.3391993045806885,9.9334716796875,10.03255558013916,-9.172393798828125,10.756026268005371,10.957706451416016,-11.149199485778809
train,3,4.12100076675415,4.125998497009277,-0.7181413173675537,8.31050968170166,8.320198059082031,-5.986452102661133,9.5433931350708,9.552399635314941,-8.208634376525879,6.7111992835998535,6.719608783721924,-3.557079553604126,1.0105066299438477,1.0538032054901123,0.8873257637023926,4.082911968231201,4.096794605255127,-0.6932359337806702,5.485599994659424,5.504761695861816,-2.057082414627075,3.095022678375244,3.169999599456787,-0.015522642061114311,1.657743215560913,1.8622010946273804,0.6454948782920837,5.897848129272461,5.992826461791992,-2.6328234672546387,8.29943561553955,8.369659423828125,-6.077289581298828,9.074753761291504,9.18880558013916,-7.532200336456299
train,2,4.6048407554626465,4.611726760864258,-1.1465986967086792,8.160202026367188,8.171295166015625,-5.73887300491333,8.71052074432373,8.72103214263916,-6.675897598266602,5.902054309844971,5.913527965545654,-2.5297815799713135,1.0338234901428223,1.0997064113616943,0.8771116137504578,2.8447961807250977,2.879641532897949,0.1628631204366684,3.0677359104156494,3.120335340499878,0.01666509546339512,0.6735334992408752,0.8223902583122253,0.9313192963600159,3.0198135375976562,3.147927761077881,-0.005397323053330183,5.218616962432861,5.296497344970703,-1.837113857269287,6.370953559875488,6.437989234924316,-3.1886942386627197,7.116227149963379,7.195796489715576,-4.231761455535889
train,5,4.875439643859863,4.881598949432373,-1.4050767421722412,9.41821575164795,9.428271293640137,-7.971047401428223,10.084531784057617,10.092411994934082,-9.278820037841797,7.0399041175842285,7.0474138259887695,-4.012331008911133,1.4066548347473145,1.4426321983337402,0.7892212867736816,3.6828300952911377,3.7024307250976562,-0.3831220865249634,4.881534099578857,4.9105544090271,-1.4331330060958862,1.9134553670883179,2.0614006519317627,0.5686597228050232,3.254046678543091,3.424384832382202,-0.19103218615055084,7.389665603637695,7.474531173706055,-4.6480865478515625,9.263158798217773,9.363872528076172,-7.85964822769165,9.51951789855957,9.698444366455078,-8.513700485229492
