dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
9,version_0,1.6719229221343994,2.3700761795043945,0.8889237642288208,8.45996379852295,8.969740867614746,-0.3510729670524597,15.553403854370117,16.005037307739258,-3.0238826274871826,21.380325317382812,21.847517013549805,-5.323991298675537,26.171436309814453,26.830915451049805,-8.635431289672852,30.144916534423828,31.166221618652344,-10.120198249816895,32.890899658203125,34.1175651550293,-10.995108604431152,34.89904022216797,36.08182907104492,-13.472954750061035,36.38315200805664,37.47892761230469,-15.464237213134766,37.09355926513672,38.17204284667969,-16.72027015686035,38.29220962524414,39.431129455566406,-16.293947219848633,38.994789123535156,40.209598541259766,-15.734012603759766,39.4364128112793,40.667972564697266,-15.723464012145996
7,version_0,1.6816245317459106,2.4131791591644287,0.8872562050819397,8.524381637573242,9.017261505126953,-0.36378714442253113,16.29824447631836,16.7614688873291,-3.4124338626861572,22.66998863220215,23.139854431152344,-6.092421054840088,27.778305053710938,28.43805503845215,-9.82087230682373,31.833524703979492,32.85359573364258,-11.363792419433594,34.55331039428711,35.769927978515625,-12.194103240966797,36.51691436767578,37.68463897705078,-14.793645858764648,37.9545783996582,39.03412628173828,-16.866008758544922,38.619728088378906,39.68022537231445,-18.148054122924805,39.777992248535156,40.89254379272461,-17.59896469116211,40.45284652709961,41.63675308227539,-16.942092895507812,40.87938690185547,42.07740783691406,-16.902467727661133
6,version_0,2.9198532104492188,3.4327149391174316,0.7856552004814148,11.383934020996094,11.77537727355957,-1.3375002145767212,18.513832092285156,18.896583557128906,-4.61807918548584,23.40126609802246,23.945283889770508,-6.622528076171875,26.970680236816406,27.79356575012207,-9.36592960357666,29.91506576538086,31.15753173828125,-10.13247013092041,31.933534622192383,33.36654281616211,-10.481493949890137,33.4477653503418,34.80706024169922,-12.456191062927246,34.56813049316406,35.79885482788086,-14.001195907592773,35.03595733642578,36.22086715698242,-14.942959785461426,36.10877990722656,37.33489227294922,-14.502809524536133,36.7550163269043,38.05028533935547,-13.985215187072754,37.17188262939453,38.479736328125,-13.972391128540039
1,version_0,6.199286460876465,6.729429244995117,0.17395296692848206,16.04558563232422,16.473403930664062,-3.6438419818878174,21.314624786376953,21.84610366821289,-6.54144287109375,24.58208656311035,25.400928497314453,-7.6065263748168945,27.04182243347168,28.06924057006836,-9.586384773254395,29.37200355529785,30.7457275390625,-9.85185432434082,31.102367401123047,32.612953186035156,-9.971914291381836,32.48421859741211,33.89516830444336,-11.756877899169922,33.54694366455078,34.8154296875,-13.183837890625,33.995296478271484,35.214202880859375,-14.067838668823242,35.0615348815918,36.3218879699707,-13.672979354858398,35.704734802246094,37.03588104248047,-13.197214126586914,36.1197624206543,37.46369171142578,-13.192279815673828
10,version_0,1.8067148923873901,2.4544219970703125,0.8845986723899841,9.559961318969727,9.997567176818848,-0.6808701753616333,16.974990844726562,17.352863311767578,-3.732605457305908,22.78049659729004,23.21194839477539,-6.144583702087402,27.307371139526367,27.96462059020996,-9.473478317260742,30.93828773498535,32.00105667114258,-10.726924896240234,33.372657775878906,34.65056610107422,-11.37595272064209,35.1473388671875,36.382930755615234,-13.710079193115234,36.435123443603516,37.57515335083008,-15.538908958435059,36.98918914794922,38.10014724731445,-16.644935607910156,38.09794998168945,39.25672912597656,-16.14008140563965,38.758056640625,39.986446380615234,-15.548377990722656,39.18036651611328,40.42261505126953,-15.522234916687012
8,version_0,1.795158863067627,2.439682722091675,0.8853064775466919,9.243319511413574,9.807258605957031,-0.6184571385383606,17.034709930419922,17.56869888305664,-3.8493118286132812,23.42600440979004,23.950868606567383,-6.600137710571289,28.52531623840332,29.233943939208984,-10.43759536743164,32.58846664428711,33.62113571166992,-11.956665992736816,35.342098236083984,36.540470123291016,-12.773465156555176,37.34178924560547,38.47715759277344,-15.471513748168945,38.820499420166016,39.8626708984375,-17.643253326416016,39.53914260864258,40.560157775878906,-19.015209197998047,40.74182891845703,41.820709228515625,-18.453861236572266,41.4369010925293,42.58687973022461,-17.770280838012695,41.870628356933594,43.035972595214844,-17.727354049682617
4,version_0,3.31335711479187,3.809842824935913,0.7369910478591919,12.373520851135254,12.764472007751465,-1.7582292556762695,20.0936222076416,20.486244201660156,-5.6175994873046875,25.01543617248535,25.62238883972168,-7.759644508361816,28.357526779174805,29.24547576904297,-10.507308006286621,31.013755798339844,32.29480743408203,-10.996855735778809,32.80929183959961,34.24970245361328,-11.110755920410156,34.19306182861328,35.5432243347168,-13.031668663024902,35.24309539794922,36.456764221191406,-14.559372901916504,35.68240737915039,36.84748840332031,-15.499916076660156,36.74465560913086,37.95002365112305,-15.017845153808594,37.38607406616211,38.659759521484375,-14.468894004821777,37.80024337768555,39.086639404296875,-14.448321342468262
3,version_0,2.3204703330993652,2.8778018951416016,0.8483301401138306,9.877686500549316,10.263256072998047,-0.7689843773841858,16.904945373535156,17.28267478942871,-3.695694923400879,22.050540924072266,22.581172943115234,-5.770956993103027,25.93956184387207,26.739961624145508,-8.588360786437988,29.089187622070312,30.320064544677734,-9.534297943115234,31.220718383789062,32.65165328979492,-9.991787910461426,32.80256271362305,34.1655387878418,-11.965343475341797,33.96623992919922,35.206600189208984,-13.507779121398926,34.45561599731445,35.65397262573242,-14.4476318359375,35.53666305541992,36.77888488769531,-14.044543266296387,36.185672760009766,37.498966217041016,-13.554306983947754,36.60331344604492,37.92973709106445,-13.547513008117676
2,version_0,1.7956873178482056,2.4918229579925537,0.8848139047622681,9.29993724822998,9.69721508026123,-0.5763373374938965,16.510683059692383,16.894330978393555,-3.4866974353790283,21.942180633544922,22.507080078125,-5.728240966796875,25.85035514831543,26.714136123657227,-8.57246208190918,28.907285690307617,30.19749641418457,-9.45175552368164,30.96588897705078,32.43429946899414,-9.848477363586426,32.504852294921875,33.89386749267578,-11.757962226867676,33.63627243041992,34.89461898803711,-13.249124526977539,34.10886001586914,35.321510314941406,-14.159875869750977,35.18405532836914,36.43941116333008,-13.768048286437988,35.83113098144531,37.1576042175293,-13.290629386901855,36.24803161621094,37.58747863769531,-13.286200523376465
5,version_0,2.0846915245056152,2.674727439880371,0.868954598903656,9.636101722717285,10.051605224609375,-0.6987833976745605,16.656400680541992,17.065343856811523,-3.581658124923706,21.870731353759766,22.445384979248047,-5.694693565368652,25.82445526123047,26.645357131958008,-8.522249221801758,29.026384353637695,30.264204025268555,-9.493782997131348,31.182453155517578,32.61952209472656,-9.966814041137695,32.76577377319336,34.13449478149414,-11.937883377075195,33.926944732666016,35.17055892944336,-13.476951599121094,34.418582916259766,35.61917495727539,-14.417253494262695,35.502655029296875,36.74659729003906,-14.018131256103516,36.1536750793457,37.46842956542969,-13.530627250671387,36.57254409790039,37.900245666503906,-13.524906158447266
