dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
sliding_windows,9,1.864129900932312,2.7554380893707275,0.8553197383880615,15.582356452941895,16.134876251220703,-3.466034412384033,19.708852767944336,20.43310546875,-5.597237586975098,21.91207504272461,22.73785972595215,-6.773923873901367,23.67431640625,24.61366844177246,-7.30067253112793,25.270185470581055,26.35685157775879,-7.650862216949463,26.698972702026367,27.785676956176758,-8.154340744018555,28.22697639465332,29.477176666259766,-8.358402252197266,27.699546813964844,29.144201278686523,-8.684686660766602,26.909683227539062,27.640262603759766,-9.58029556274414,27.930143356323242,28.754119873046875,-9.321949005126953,28.914079666137695,29.795881271362305,-9.289851188659668,31.841758728027344,32.9250602722168,-9.957719802856445
sliding_windows,7,1.9021364450454712,2.749983787536621,0.8544111251831055,16.6654052734375,17.230709075927734,-4.100940227508545,20.87694549560547,21.65094757080078,-6.415542125701904,23.052444458007812,23.929536819458008,-7.615162372589111,24.80307960510254,25.80101203918457,-8.137086868286133,26.39073371887207,27.523853302001953,-8.45772647857666,27.805444717407227,28.943723678588867,-8.952129364013672,29.317358016967773,30.605329513549805,-9.112250328063965,28.901073455810547,30.34532356262207,-9.538002967834473,27.842416763305664,28.544343948364258,-10.250188827514648,28.855188369750977,29.655418395996094,-9.948265075683594,29.833290100097656,30.71245574951172,-9.90685749053955,32.65454864501953,33.72257995605469,-10.496039390563965
sliding_windows,6,2.1173746585845947,3.0355637073516846,0.8227940201759338,16.371179580688477,16.93764877319336,-3.926053524017334,20.42192268371582,21.174104690551758,-6.097338676452637,22.656940460205078,23.524158477783203,-7.336648941040039,24.434940338134766,25.41632080078125,-7.878237247467041,26.030643463134766,27.146764755249023,-8.208513259887695,27.45551109313965,28.572769165039062,-8.70624828338623,28.977624893188477,30.24959373474121,-8.884821891784668,28.45517349243164,29.901079177856445,-9.288484573364258,27.453657150268555,28.192153930664062,-9.992403984069824,28.467201232910156,29.302654266357422,-9.705345153808594,29.446537017822266,30.3654727935791,-9.675413131713867,32.45827865600586,33.4989128112793,-10.344341278076172
sliding_windows,1,2.0954549312591553,3.357591390609741,0.7734805941581726,18.60380744934082,19.225061416625977,-5.3448896408081055,22.346281051635742,23.194490432739258,-7.492272853851318,24.495149612426758,25.436569213867188,-8.694629669189453,26.147428512573242,27.19416046142578,-9.11950969696045,27.612998962402344,28.76627540588379,-9.313446998596191,28.93907356262207,30.094322204589844,-9.731806755065918,30.384523391723633,31.686243057250977,-9.825661659240723,30.103702545166016,31.615678787231445,-10.370278358459473,28.95871925354004,29.76576805114746,-11.231362342834473,29.963430404663086,30.856046676635742,-10.85893440246582,30.934171676635742,31.869754791259766,-10.755148887634277,33.6673698425293,34.849937438964844,-11.278063774108887
sliding_windows,10,1.7544491291046143,2.5504133701324463,0.8768540024757385,14.63823127746582,15.190349578857422,-2.9602749347686768,18.946964263916016,19.665096282958984,-5.124464988708496,21.125764846801758,21.944093704223633,-6.264935493469238,22.990493774414062,23.92384147644043,-6.865202903747559,24.624008178710938,25.71290397644043,-7.251037120819092,26.08656120300293,27.182817459106445,-7.772783279418945,27.633501052856445,28.90138053894043,-8.005073547363281,26.90339469909668,28.35636329650879,-8.213546752929688,26.346967697143555,27.092803955078125,-9.1565523147583,27.36335563659668,28.213909149169922,-8.929221153259277,28.341272354125977,29.276968002319336,-8.927145957946777,31.11924934387207,32.236385345458984,-9.504117012023926
sliding_windows,8,2.085767984390259,2.9500930309295654,0.8333380222320557,16.01660919189453,16.585796356201172,-3.7137579917907715,20.143604278564453,20.921751022338867,-5.897848606109619,22.368152618408203,23.248546600341797,-7.097484111785889,24.143566131591797,25.14044189453125,-7.62798547744751,25.731204986572266,26.863203048706055,-7.952664852142334,27.14533233642578,28.277427673339844,-8.445019721984863,28.65565299987793,29.9383602142334,-8.621204376220703,28.015920639038086,29.521318435668945,-8.953057289123535,27.049285888671875,27.755186080932617,-9.662677764892578,28.034217834472656,28.83595848083496,-9.375003814697266,28.986051559448242,29.855194091796875,-9.325814247131348,32.2327880859375,33.31611633300781,-10.219566345214844
sliding_windows,4,2.3569304943084717,3.3553566932678223,0.7797017097473145,17.608421325683594,18.14008903503418,-4.638644218444824,21.580795288085938,22.31612777709961,-6.862493991851807,23.74530601501465,24.582984924316406,-8.079647064208984,25.51375389099121,26.46228790283203,-8.599594116210938,27.089399337768555,28.166839599609375,-8.89771842956543,28.50542640686035,29.577280044555664,-9.380584716796875,30.02149772644043,31.25800895690918,-9.543072700500488,29.6041316986084,31.060047149658203,-10.07719898223877,28.779117584228516,29.486804962158203,-11.064624786376953,29.813077926635742,30.609317779541016,-10.717653274536133,30.80903434753418,31.678401947021484,-10.651439666748047,33.45504379272461,34.5146598815918,-11.041728973388672
sliding_windows,3,2.371511459350586,3.3959298133850098,0.774871826171875,17.7996768951416,18.358539581298828,-4.783752918243408,21.71681022644043,22.466690063476562,-6.980514049530029,23.89130401611328,24.729482650756836,-8.201541900634766,25.63774299621582,26.588287353515625,-8.706774711608887,27.183767318725586,28.275421142578125,-8.993157386779785,28.575298309326172,29.660276412963867,-9.457867622375488,30.071081161499023,31.31915855407715,-9.59086799621582,29.73745346069336,31.20893096923828,-10.290122032165527,28.646228790283203,29.345258712768555,-10.93897819519043,29.6462345123291,30.448320388793945,-10.585371971130371,30.61459732055664,31.5076961517334,-10.517749786376953,33.653141021728516,34.714149475097656,-11.183152198791504
sliding_windows,2,2.2755515575408936,3.436030626296997,0.7646054625511169,19.114742279052734,19.708314895629883,-5.698193073272705,23.07585334777832,23.90078353881836,-8.063998222351074,25.30122184753418,26.225343704223633,-9.362217903137207,27.03925895690918,28.088092803955078,-9.862915992736816,28.570009231567383,29.744220733642578,-10.092246055603027,29.931793212890625,31.122915267944336,-10.536691665649414,31.394569396972656,32.70866775512695,-10.596175193786621,30.991376876831055,32.46733856201172,-10.95942497253418,29.839366912841797,30.714365005493164,-11.999195098876953,30.848018646240234,31.827280044555664,-11.588065147399902,31.824350357055664,32.88101577758789,-11.485238075256348,34.2760009765625,35.58692932128906,-11.803325653076172
sliding_windows,5,2.3147850036621094,3.2273340225219727,0.7978050112724304,16.89755630493164,17.423791885375977,-4.201691150665283,20.849363327026367,21.583066940307617,-6.352124214172363,23.0955753326416,23.938364028930664,-7.6072235107421875,24.88273048400879,25.841388702392578,-8.148449897766113,26.476093292236328,27.56601905822754,-8.467716217041016,27.90583038330078,29.006181716918945,-8.97445011138916,29.43696403503418,30.6961612701416,-9.155421257019043,28.885229110717773,30.34054946899414,-9.50061321258545,27.972835540771484,28.7679500579834,-10.456814765930176,29.005266189575195,29.886966705322266,-10.150115013122559,30.003215789794922,30.943782806396484,-10.100193977355957,32.78892135620117,33.95980453491211,-10.657304763793945
