dataset,fold,mae,rmse,r2
papaiz_3M,9,1.3202638626098633,1.747342586517334,0.8740155696868896
papaiz_3M,7,1.2997196912765503,1.7471961975097656,0.8713401556015015
papaiz_3M,6,1.303978443145752,1.7652279138565063,0.8709274530410767
papaiz_3M,1,1.3538792133331299,1.849104642868042,0.8598442077636719
papaiz_3M,10,1.395438313484192,1.8195875883102417,0.8636804819107056
papaiz_3M,8,1.3606253862380981,1.7995128631591797,0.8654505014419556
papaiz_3M,4,1.2842971086502075,1.760778546333313,0.870473325252533
papaiz_3M,3,1.2986903190612793,1.747811198234558,0.8723184466362
papaiz_3M,2,1.3686745166778564,1.8316000699996948,0.862392783164978
papaiz_3M,5,1.3868485689163208,1.7981300354003906,0.867336094379425
