fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
9,0.8061285614967346,1.1409026384353638,0.9635307788848877,1.491875410079956,1.8961193561553955,0.925969660282135,1.9552539587020874,2.499861717224121,0.8733862042427063,2.312427282333374,3.0820577144622803,0.8280256390571594,2.755364179611206,3.5921616554260254,0.7571466565132141,3.3970816135406494,4.407577037811279,0.6355352401733398,4.152184963226318,5.278019428253174,0.5201972723007202,4.616579055786133,5.803825855255127,0.4130808115005493,5.207803726196289,6.659237861633301,0.25439852476119995,6.507046699523926,7.926062107086182,-0.04639272764325142,7.0019450187683105,8.635710716247559,-0.1682397574186325,7.632593154907227,9.257704734802246,-0.34556883573532104,8.282915115356445,9.73454761505127,-0.46692606806755066
7,0.8616178631782532,1.1100178956985474,0.9682642221450806,1.54766047000885,1.922391414642334,0.9270012378692627,1.951836347579956,2.431405544281006,0.8831682801246643,2.216273546218872,2.718677043914795,0.8645519018173218,2.4683656692504883,3.0992722511291504,0.8238959908485413,2.9363291263580322,3.701939344406128,0.7661018967628479,3.5935556888580322,4.475001811981201,0.6804619431495667,3.8464033603668213,4.847418308258057,0.6089165806770325,4.497158527374268,5.483686447143555,0.4917635917663574,4.2076096534729,5.153839111328125,0.4970718324184418,4.711804389953613,5.724833965301514,0.42421767115592957,5.0151448249816895,5.946077346801758,0.3620181083679199,6.641320705413818,7.94383430480957,-0.03911113739013672
6,0.8404310345649719,1.1671375036239624,0.9621606469154358,1.571771264076233,1.9721966981887817,0.9178773760795593,2.1350464820861816,2.72025465965271,0.8467389941215515,2.817491054534912,3.637763738632202,0.7555384039878845,3.4647130966186523,4.340795993804932,0.6359044909477234,4.447180271148682,5.403970241546631,0.4541633427143097,5.380180358886719,6.508912563323975,0.26648789644241333,6.1911516189575195,7.290215015411377,0.08342611789703369,6.891280651092529,8.238164901733398,-0.12817208468914032,8.549996376037598,10.041828155517578,-0.6918636560440063,9.322524070739746,10.915234565734863,-0.8830119967460632,10.147390365600586,11.70373249053955,-1.1543265581130981,10.13193130493164,11.467415809631348,-1.0214616060256958
1,0.8027986884117126,1.110541820526123,0.9689144492149353,1.5024110078811646,1.8667206764221191,0.9320831298828125,1.813165545463562,2.2292633056640625,0.902745246887207,1.9236735105514526,2.4531595706939697,0.8927205801010132,2.0088415145874023,2.694748878479004,0.8691191077232361,2.61645245552063,3.5186281204223633,0.779325544834137,3.3943064212799072,4.41441011428833,0.6798641681671143,3.8453409671783447,4.8751091957092285,0.5996736884117126,4.485113143920898,5.7237749099731445,0.4593826234340668,4.427299976348877,5.427453994750977,0.4711085259914398,5.1380295753479,6.232416152954102,0.35330531001091003,5.707755088806152,6.840614318847656,0.22177189588546753,5.835330009460449,7.249176502227783,0.18622279167175293
10,0.8467122912406921,1.1043446063995361,0.9689100384712219,1.47217857837677,1.8654519319534302,0.9320909976959229,1.8045073747634888,2.226466417312622,0.9014835953712463,1.892508625984192,2.3501641750335693,0.8979639410972595,2.020810842514038,2.5584168434143066,0.8779905438423157,2.4210081100463867,3.187549352645874,0.8177988529205322,2.9247629642486572,3.9183461666107178,0.7476650476455688,3.137510061264038,4.1982741355896,0.7020730376243591,3.823573112487793,4.880654811859131,0.6086768507957458,3.899665594100952,4.951841354370117,0.5817140936851501,4.389962673187256,5.483497619628906,0.5190569162368774,4.79136848449707,5.9761152267456055,0.4260464608669281,5.4010090827941895,6.386364936828613,0.3375733196735382
8,0.8220542669296265,1.0963115692138672,0.96670001745224,1.4368375539779663,1.775140643119812,0.9336041808128357,1.7595798969268799,2.181992530822754,0.8987905383110046,2.0191450119018555,2.554205894470215,0.8760910034179688,2.156022548675537,2.767963409423828,0.8524723052978516,2.5621862411499023,3.2850265502929688,0.7999090552330017,3.0644280910491943,4.029842376708984,0.7232859134674072,3.360149383544922,4.230281352996826,0.6791813969612122,3.9442291259765625,4.680754661560059,0.6292527914047241,3.9507415294647217,5.046215534210205,0.565815269947052,4.388275146484375,5.515507221221924,0.5136697888374329,4.56312894821167,5.676016807556152,0.47571173310279846,5.534618854522705,6.771332263946533,0.29141244292259216
4,0.7642068266868591,1.0755640268325806,0.9665620923042297,1.3915194272994995,1.7913655042648315,0.9332069158554077,1.8042895793914795,2.25614333152771,0.8926589488983154,2.1303343772888184,2.7539823055267334,0.8591851592063904,2.4225008487701416,3.140606641769409,0.811533510684967,3.0390660762786865,3.838313341140747,0.7174427509307861,3.6946074962615967,4.616384029388428,0.6210125684738159,3.9500229358673096,4.968881607055664,0.5520297884941101,4.562458515167236,5.8391218185424805,0.4184381663799286,5.284923076629639,6.768307685852051,0.23290042579174042,5.866500377655029,7.392451286315918,0.1389479786157608,6.307750225067139,7.851617813110352,0.02450578846037388,7.281210422515869,8.76827621459961,-0.1802835464477539
3,1.0790101289749146,1.405922293663025,0.9477121829986572,2.0463640689849854,2.4731147289276123,0.8715667724609375,2.9226670265197754,3.596484899520874,0.735887348651886,4.161117076873779,4.903787136077881,0.5643652677536011,5.20159912109375,6.001274585723877,0.31740009784698486,6.308652877807617,7.271205425262451,0.03470887243747711,7.430799961090088,8.544434547424316,-0.24860642850399017,8.42630672454834,9.544020652770996,-0.5483465790748596,9.51035213470459,10.693717956542969,-0.9103350043296814,10.706693649291992,11.748714447021484,-1.3990248441696167,11.60482120513916,12.770766258239746,-1.6733587980270386,12.513960838317871,13.652202606201172,-2.036961317062378,13.089766502380371,14.37650203704834,-2.168173313140869
2,0.8153274059295654,1.1051512956619263,0.9671116471290588,1.4972748756408691,1.8800326585769653,0.9284824132919312,1.8531012535095215,2.2888853549957275,0.8933952450752258,2.0755412578582764,2.6478545665740967,0.8661400079727173,2.2203733921051025,2.8309357166290283,0.8459895849227905,2.77079176902771,3.4053337574005127,0.7777713537216187,3.202343225479126,4.070470809936523,0.7045911550521851,3.411450147628784,4.287874221801758,0.6506662368774414,3.7841033935546875,4.760311603546143,0.5982072949409485,4.277786731719971,5.382903575897217,0.4544333517551422,4.654153347015381,5.905520915985107,0.3836497962474823,4.967703819274902,6.259087085723877,0.2939814329147339,5.8510050773620605,7.321485996246338,0.17239370942115784
5,1.1299934387207031,1.3981585502624512,0.9542812705039978,2.1498680114746094,2.6090376377105713,0.8647733330726624,3.0844743251800537,3.6314032077789307,0.7361417412757874,3.607435703277588,4.265629768371582,0.6579233407974243,4.247518539428711,4.925458908081055,0.5294955372810364,4.769740104675293,5.589524745941162,0.45317792892456055,5.254411697387695,6.233930587768555,0.3572547435760498,5.584922790527344,6.603296279907227,0.2706829309463501,6.3859477043151855,7.338033676147461,0.10396642237901688,6.72119140625,7.696835517883301,-0.06154618412256241,7.084634780883789,8.194774627685547,-0.1288566142320633,7.44580078125,8.593783378601074,-0.2368597537279129,7.472409248352051,8.934535026550293,-0.23015619814395905
