dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12
train,9,3.7010018825531006,3.9362964630126953,-0.6600860357284546,8.557913780212402,8.643941879272461,-6.936343669891357,9.814955711364746,9.903878211975098,-9.415623664855957,12.83816146850586,12.938684463500977,-16.768339157104492,19.885515213012695,19.989225387573242,-41.36901092529297,28.354183197021484,28.46177101135254,-84.84486389160156,34.65275573730469,34.764400482177734,-127.03791809082031,38.54982376098633,38.66130828857422,-157.32711791992188,40.99101638793945,41.1036376953125,-177.95217895507812,42.85906219482422,42.97869110107422,-194.65353393554688,44.3602180480957,44.484764099121094,-208.60061645507812,45.55168151855469,45.674983978271484,-219.95184326171875
train,7,4.042181491851807,4.30154275894165,-0.9826783537864685,9.612125396728516,9.685466766357422,-8.957463264465332,10.39661979675293,10.470250129699707,-10.634429931640625,12.912555694580078,13.00194263458252,-16.938753128051758,19.5356502532959,19.643701553344727,-39.92308044433594,27.6931209564209,27.819814682006836,-81.04495239257812,33.649600982666016,33.77993392944336,-119.92718505859375,37.23737716674805,37.36719512939453,-146.948486328125,39.43667984008789,39.5678825378418,-164.86936950683594,40.91326141357422,41.049591064453125,-177.5170135498047,42.05921936035156,42.197105407714844,-187.62904357910156,43.029972076416016,43.162620544433594,-196.3429412841797
train,6,4.192659378051758,4.4636969566345215,-1.135148286819458,9.964438438415527,10.042713165283203,-9.706360816955566,10.706511497497559,10.784775733947754,-11.345274925231934,13.201295852661133,13.293713569641113,-17.75523567199707,19.732837677001953,19.842737197875977,-40.75908660888672,27.766752243041992,27.891937255859375,-81.46762084960938,33.58053207397461,33.711761474609375,-119.44001007080078,37.05876541137695,37.19126510620117,-145.5614776611328,39.1640739440918,39.29545974731445,-162.59500122070312,40.47348403930664,40.60382843017578,-173.6571044921875,41.33255386352539,41.46222686767578,-181.11087036132812,41.99089050292969,42.11941909790039,-186.92100524902344
train,1,5.140927791595459,5.563198089599609,-2.324050188064575,13.325630187988281,13.50013542175293,-18.373884201049805,12.155953407287598,12.286116600036621,-15.036057472229004,11.84738826751709,11.977290153503418,-14.241774559020996,15.545297622680664,15.684454917907715,-25.120290756225586,21.9628849029541,22.12956428527832,-50.97157287597656,27.89303970336914,28.078208923339844,-82.63777923583984,31.677806854248047,31.854934692382812,-106.60885620117188,33.642791748046875,33.806575775146484,-120.16337585449219,34.620643615722656,34.775997161865234,-127.19148254394531,35.09208297729492,35.24134063720703,-130.6326446533203,35.28243637084961,35.427555084228516,-132.0194549560547
train,10,3.563225030899048,3.807389259338379,-0.5538854598999023,8.980971336364746,9.050368309020996,-7.694253921508789,10.718262672424316,10.784975051879883,-11.340256690979004,13.802962303161621,13.882218360900879,-19.438785552978516,20.711589813232422,20.800586700439453,-44.85932922363281,28.977489471435547,29.076705932617188,-88.58009338378906,35.23566818237305,35.341392517089844,-131.31373596191406,39.35744094848633,39.47031021118164,-164.0299530029297,42.30628204345703,42.43152618408203,-189.72067260742188,44.701805114746094,44.84378433227539,-212.0282745361328,46.48906326293945,46.63209533691406,-229.34080505371094,47.720611572265625,47.852622985839844,-241.51983642578125
train,8,3.7949023246765137,4.041558265686035,-0.7503620982170105,9.075071334838867,9.153905868530273,-7.8970947265625,10.318389892578125,10.396082878112793,-10.471582412719727,13.250226020812988,13.341354370117188,-17.886104583740234,20.176305770874023,20.280969619750977,-42.615718841552734,28.503734588623047,28.618425369262695,-85.80284118652344,34.60676956176758,34.72654342651367,-126.77359008789062,38.44724655151367,38.569183349609375,-156.59812927246094,40.89614486694336,41.020267486572266,-177.2503662109375,42.60127639770508,42.730125427246094,-192.41029357910156,43.8757438659668,44.0029411315918,-204.0900421142578,44.803466796875,44.92597961425781,-212.76705932617188
train,4,4.153908729553223,4.516822338104248,-1.1910901069641113,11.256061553955078,11.350809097290039,-12.67996883392334,11.505770683288574,11.595232009887695,-13.273092269897461,13.101354598999023,13.20959758758545,-17.524538040161133,18.778587341308594,18.904882431030273,-36.9185905456543,26.300119400024414,26.44757080078125,-73.17682647705078,32.014495849609375,32.170711517333984,-108.72178649902344,35.33620071411133,35.48997497558594,-132.50360107421875,37.22755813598633,37.37688064575195,-147.0556182861328,38.4443359375,38.58944320678711,-156.8007354736328,39.309471130371094,39.44977951049805,-163.89952087402344,39.93804931640625,40.0734977722168,-169.14039611816406
train,3,4.625570297241211,5.004422187805176,-1.689062237739563,12.522477149963379,12.626458168029785,-15.927149772644043,12.279170036315918,12.367547988891602,-15.23393726348877,13.269440650939941,13.379209518432617,-18.003124237060547,18.513288497924805,18.640459060668945,-35.86833190917969,25.851036071777344,26.00008201599121,-70.69315338134766,31.558921813964844,31.71867561340332,-105.66636657714844,34.839744567871094,34.9943733215332,-128.80487060546875,36.53360366821289,36.68028259277344,-141.58775329589844,37.44831848144531,37.58953857421875,-148.7284393310547,38.0092658996582,38.146785736083984,-153.1898193359375,38.40199661254883,38.537017822265625,-156.352783203125
train,2,5.019032955169678,5.413224220275879,-2.1457772254943848,13.037994384765625,13.166874885559082,-17.41493797302246,12.268006324768066,12.3770112991333,-15.266498565673828,12.693609237670898,12.82047176361084,-16.458282470703125,17.44802474975586,17.59075927734375,-31.847307205200195,24.543563842773438,24.706295013427734,-63.756771087646484,30.334854125976562,30.506868362426758,-97.69524383544922,33.73821258544922,33.899757385253906,-120.82876586914062,35.38654327392578,35.53366470336914,-132.8211212158203,36.114681243896484,36.2544059753418,-138.2868194580078,36.448734283447266,36.584903717041016,-140.82958984375,36.61294174194336,36.74715042114258,-142.08583068847656
train,5,4.36690092086792,4.658950328826904,-1.3267741203308105,10.759212493896484,10.836164474487305,-11.462440490722656,11.387054443359375,11.46312141418457,-12.944564819335938,13.608555793762207,13.702533721923828,-18.925817489624023,19.78000831604004,19.89109230041504,-40.962337493896484,27.48061180114746,27.60881805419922,-79.8045654296875,33.0495719909668,33.18646240234375,-115.72554779052734,36.316749572753906,36.45783233642578,-139.8564910888672,38.377925872802734,38.5185432434082,-156.21484375,39.8025016784668,39.939640045166016,-168.0113067626953,40.795894622802734,40.92874526977539,-176.4687957763672,41.51219940185547,41.64181137084961,-182.69349670410156
