dataset,fold,mae,rmse,r2
papaiz_3M,9,1.321313738822937,1.807633876800537,0.8905391693115234
papaiz_3M,7,1.3499698638916016,1.8327414989471436,0.8876678347587585
papaiz_3M,6,1.2969552278518677,1.829236626625061,0.8881324529647827
papaiz_3M,1,1.3062695264816284,1.8286083936691284,0.8876113295555115
papaiz_3M,10,1.3285012245178223,1.8062371015548706,0.8908483386039734
papaiz_3M,8,1.2915875911712646,1.8348060846328735,0.8872057199478149
papaiz_3M,4,1.4164193868637085,1.8916722536087036,0.8806068301200867
papaiz_3M,3,1.3858635425567627,1.8702149391174316,0.8828791975975037
papaiz_3M,2,1.2995847463607788,1.837584376335144,0.8868160843849182
papaiz_3M,5,1.3071446418762207,1.799598217010498,0.891392707824707
