dataset,fold,mae,rmse,r2
synthetic_data_0_15M,9,1.0326035022735596,1.3237940073013306,0.9622470140457153
synthetic_data_0_15M,7,1.009745717048645,1.2949825525283813,0.9645368456840515
synthetic_data_0_15M,6,1.010593295097351,1.2926197052001953,0.9639071822166443
synthetic_data_0_15M,1,1.128639578819275,1.456979513168335,0.9555467963218689
synthetic_data_0_15M,10,0.9959993362426758,1.2655607461929321,0.9659291505813599
synthetic_data_0_15M,8,1.031714916229248,1.3130006790161133,0.962963879108429
synthetic_data_0_15M,4,1.0575766563415527,1.3369117975234985,0.9617367386817932
synthetic_data_0_15M,3,0.984549880027771,1.256381869316101,0.9660571217536926
synthetic_data_0_15M,2,1.093603253364563,1.4160284996032715,0.9586458206176758
synthetic_data_0_15M,5,1.0065165758132935,1.2837202548980713,0.9651158452033997
