dataset,n_layer,n_units,learning_rate,decroissant,mae,rmse,r2,trial
T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,2.369141101837158,3.0525166988372803,0.8721351027488708,trial_5
T1-T2-T3_T4,3.0,512.0,5e-06,0.0,2.1807825565338135,3.063429117202759,0.8587013483047485,trial_1
T1-T2_T3,3.0,256.0,0.0001,1.0,2.3471179008483887,3.2905449867248535,0.814915657043457,trial_4
T1_T2,2.0,512.0,5e-05,0.0,2.35315465927124,3.2399630546569824,0.7813150882720947,trial_3
T2-T3-T4_T5,2.0,512.0,0.0005,1.0,2.3223814964294434,3.024096727371216,0.8720358610153198,trial_5
T2-T3_T4,3.0,256.0,5e-06,0.0,2.177142381668091,3.01570200920105,0.8652375340461731,trial_1
T2_T3,1.0,256.0,0.0005,0.0,2.406374931335449,3.39131760597229,0.8042917847633362,trial_5
T3-T4_T5,2.0,512.0,5e-05,1.0,2.4761786460876465,3.427110195159912,0.8425635695457458,trial_3
T3_T4,1.0,512.0,5e-06,1.0,2.2825489044189453,3.069272994995117,0.8654313087463379,trial_1
T4_T5,3.0,256.0,5e-05,1.0,2.517886161804199,3.4232711791992188,0.8532655239105225,trial_3
