dataset,trial,mae,rmse,r2,combined_zscore,n_layer,n_units,learning_rate,decroissant
T1-T2-T3-T4_T5,trial_34,2.359533309936523,3.01556658744812,0.8749814033508301,-2.8324877917004843,2.0,512.0,0.0001,0.0
T1-T2-T3_T4,trial_51,2.1628575325012207,3.0162713527679443,0.8630644083023071,-3.477032287440981,3.0,512.0,1e-05,0.0
T1-T2_T3,trial_34,2.348987579345703,3.2187557220458984,0.8219937682151794,-0.5188640787401587,2.0,512.0,0.0001,0.0
T1_T2,trial_52,2.367943286895752,3.2339370250701904,0.7818074822425842,0.7460013909575648,3.0,512.0,0.0001,0.0
T2-T3-T4_T5,trial_31,2.3132474422454834,3.0150623321533203,0.8730534315109253,-3.011237934814484,2.0,512.0,0.0001,1.0
T2-T3_T4,trial_33,2.195077657699585,3.014662742614746,0.865291178226471,-3.3856735940856835,2.0,512.0,1e-05,0.0
T2_T3,trial_10,2.3805668354034424,3.297881841659546,0.8150432705879211,0.18345363674323056,1.0,256.0,0.0001,0.0
T3-T4_T5,trial_31,2.435117244720459,3.31709885597229,0.8538669943809509,-0.5253603748371004,2.0,512.0,0.0001,1.0
T3_T4,trial_12,2.271211862564087,3.0541141033172607,0.8667360544204712,-2.87096393026636,1.0,512.0,1e-05,1.0
T4_T5,trial_1,2.5107383728027344,3.3736205101013184,0.8571468591690063,0.013052420038831225,1.0,128.0,0.0001,1.0
