dataset,trial,mae,rmse,r2
MLP_alsfrs-r_T2-T3_T4,trial_53,2.7755134105682373,3.7412285804748535,0.7952961921691895
MLP_alsfrs-r_T2-T3_T4,trial_36,2.205852508544922,3.0414817333221436,0.8636010885238647
MLP_alsfrs-r_T2-T3_T4,trial_31,2.2871131896972656,3.0872933864593506,0.8606922030448914
MLP_alsfrs-r_T2-T3_T4,trial_38,2.6982805728912354,3.4146223068237305,0.8342563509941101
MLP_alsfrs-r_T2-T3_T4,trial_52,2.266737699508667,3.171184778213501,0.8501380681991577
MLP_alsfrs-r_T2-T3_T4,trial_39,2.186835527420044,3.036893844604492,0.863269567489624
MLP_alsfrs-r_T2-T3_T4,trial_30,2.2197585105895996,3.0246317386627197,0.8649442195892334
MLP_alsfrs-r_T2-T3_T4,trial_37,2.2031784057617188,3.0584774017333984,0.8616188764572144
MLP_alsfrs-r_T2-T3_T4,trial_15,2.188098669052124,3.0344016551971436,0.8638232350349426
MLP_alsfrs-r_T2-T3_T4,trial_12,2.1940455436706543,3.0228943824768066,0.8648644089698792
MLP_alsfrs-r_T2-T3_T4,trial_24,2.2450973987579346,3.036808729171753,0.8639583587646484
MLP_alsfrs-r_T2-T3_T4,trial_23,2.233736038208008,3.1114776134490967,0.8574361205101013
MLP_alsfrs-r_T2-T3_T4,trial_5,2.259279727935791,3.1138882637023926,0.8576216697692871
MLP_alsfrs-r_T2-T3_T4,trial_48,2.202573299407959,3.0236024856567383,0.8648785352706909
MLP_alsfrs-r_T2-T3_T4,trial_2,2.2303977012634277,3.125213146209717,0.8554180264472961
MLP_alsfrs-r_T2-T3_T4,trial_46,2.573031425476074,3.300072193145752,0.841890275478363
MLP_alsfrs-r_T2-T3_T4,trial_41,2.29352068901062,3.2159507274627686,0.8464253544807434
MLP_alsfrs-r_T2-T3_T4,trial_22,2.269171953201294,3.0653674602508545,0.862007737159729
MLP_alsfrs-r_T2-T3_T4,trial_25,2.2330873012542725,3.1211864948272705,0.855217456817627
MLP_alsfrs-r_T2-T3_T4,trial_13,2.2443370819091797,3.0659899711608887,0.8618127107620239
MLP_alsfrs-r_T2-T3_T4,trial_14,2.4372670650482178,3.3769731521606445,0.8324428796768188
MLP_alsfrs-r_T2-T3_T4,trial_40,2.24139666557312,3.1410059928894043,0.8542816638946533
MLP_alsfrs-r_T2-T3_T4,trial_47,2.3944766521453857,3.1772313117980957,0.8532655835151672
MLP_alsfrs-r_T2-T3_T4,trial_3,2.1848015785217285,3.058131456375122,0.86173015832901
MLP_alsfrs-r_T2-T3_T4,trial_4,2.245767116546631,3.060262441635132,0.8629583716392517
MLP_alsfrs-r_T2-T3_T4,trial_49,2.374675750732422,3.1324102878570557,0.8569375872612
MLP_alsfrs-r_T2-T3_T4,trial_32,2.4513866901397705,3.1974711418151855,0.8519262075424194
MLP_alsfrs-r_T2-T3_T4,trial_35,2.7285332679748535,3.6701090335845947,0.8033825159072876
MLP_alsfrs-r_T2-T3_T4,trial_50,2.491885185241699,3.215620517730713,0.8514610528945923
MLP_alsfrs-r_T2-T3_T4,trial_34,2.2490856647491455,3.1470322608947754,0.8524410724639893
MLP_alsfrs-r_T2-T3_T4,trial_33,2.195077657699585,3.014662742614746,0.865291178226471
MLP_alsfrs-r_T2-T3_T4,trial_51,2.2388975620269775,3.0253679752349854,0.864737331867218
MLP_alsfrs-r_T2-T3_T4,trial_1,2.288625717163086,3.2109286785125732,0.8473946452140808
MLP_alsfrs-r_T2-T3_T4,trial_6,2.256580114364624,3.048682928085327,0.8640549182891846
MLP_alsfrs-r_T2-T3_T4,trial_42,2.206321954727173,3.065538167953491,0.8610653281211853
MLP_alsfrs-r_T2-T3_T4,trial_45,2.1793160438537598,3.049180746078491,0.8617053627967834
MLP_alsfrs-r_T2-T3_T4,trial_8,2.7030231952667236,3.4365296363830566,0.8319926261901855
MLP_alsfrs-r_T2-T3_T4,trial_11,2.4572594165802,3.257946729660034,0.8465583920478821
MLP_alsfrs-r_T2-T3_T4,trial_29,2.253159284591675,3.0976383686065674,0.8580670952796936
MLP_alsfrs-r_T2-T3_T4,trial_16,2.3944385051727295,3.1353533267974854,0.8574414253234863
MLP_alsfrs-r_T2-T3_T4,trial_20,2.2518792152404785,3.1461875438690186,0.8531036972999573
MLP_alsfrs-r_T2-T3_T4,trial_18,2.2125604152679443,3.033581018447876,0.8642922639846802
MLP_alsfrs-r_T2-T3_T4,trial_27,2.1965677738189697,3.0255017280578613,0.8646624088287354
MLP_alsfrs-r_T2-T3_T4,trial_44,2.4282100200653076,3.212411880493164,0.8498291969299316
MLP_alsfrs-r_T2-T3_T4,trial_9,2.2205843925476074,3.046064615249634,0.8630431294441223
MLP_alsfrs-r_T2-T3_T4,trial_43,2.2968192100524902,3.066643238067627,0.862554669380188
MLP_alsfrs-r_T2-T3_T4,trial_7,2.3657867908477783,3.1383395195007324,0.8562380075454712
MLP_alsfrs-r_T2-T3_T4,trial_0,2.208888053894043,3.0414845943450928,0.8636560440063477
MLP_alsfrs-r_T2-T3_T4,trial_19,2.2831594944000244,3.0858163833618164,0.8601462244987488
MLP_alsfrs-r_T2-T3_T4,trial_26,2.283283233642578,3.103182077407837,0.858400821685791
MLP_alsfrs-r_T2-T3_T4,trial_21,2.1863300800323486,3.04913592338562,0.8621627688407898
MLP_alsfrs-r_T2-T3_T4,trial_28,2.4006431102752686,3.1533901691436768,0.8547090291976929
MLP_alsfrs-r_T2-T3_T4,trial_17,2.2539188861846924,3.1411263942718506,0.854656994342804
MLP_alsfrs-r_T2-T3_T4,trial_10,2.24878191947937,3.0827078819274902,0.8600619435310364
MLP_alsfrs-r_T3_T4,trial_53,2.663830518722534,3.3198325634002686,0.850007176399231
MLP_alsfrs-r_T3_T4,trial_36,2.31777024269104,3.0544769763946533,0.8679825663566589
MLP_alsfrs-r_T3_T4,trial_31,2.2987172603607178,3.0914742946624756,0.8631659746170044
MLP_alsfrs-r_T3_T4,trial_38,2.599910259246826,3.4386746883392334,0.8273085355758667
MLP_alsfrs-r_T3_T4,trial_52,2.3040847778320312,3.1300716400146484,0.8578835129737854
MLP_alsfrs-r_T3_T4,trial_39,2.2894320487976074,3.097654342651367,0.862302303314209
MLP_alsfrs-r_T3_T4,trial_30,2.280900716781616,3.07759952545166,0.8641120195388794
MLP_alsfrs-r_T3_T4,trial_37,2.3193845748901367,3.0524795055389404,0.8684930205345154
MLP_alsfrs-r_T3_T4,trial_15,2.3000285625457764,3.0826244354248047,0.8644030690193176
MLP_alsfrs-r_T3_T4,trial_12,2.271211862564087,3.0541141033172607,0.8667360544204712
MLP_alsfrs-r_T3_T4,trial_24,2.2764499187469482,3.063926935195923,0.8658321499824524
MLP_alsfrs-r_T3_T4,trial_23,2.391329288482666,3.114765167236328,0.8643888235092163
MLP_alsfrs-r_T3_T4,trial_5,2.3530077934265137,3.080101251602173,0.865763247013092
MLP_alsfrs-r_T3_T4,trial_48,2.2995615005493164,3.115342378616333,0.8600646257400513
MLP_alsfrs-r_T3_T4,trial_2,2.337634563446045,3.1261556148529053,0.8597069978713989
MLP_alsfrs-r_T3_T4,trial_46,2.3440778255462646,3.0576975345611572,0.868547797203064
MLP_alsfrs-r_T3_T4,trial_41,2.360302686691284,3.0656039714813232,0.8686577677726746
MLP_alsfrs-r_T3_T4,trial_22,2.2970731258392334,3.067512035369873,0.8657182455062866
MLP_alsfrs-r_T3_T4,trial_25,2.2921299934387207,3.0790772438049316,0.8644188642501831
MLP_alsfrs-r_T3_T4,trial_13,2.3200833797454834,3.0436179637908936,0.8694126605987549
MLP_alsfrs-r_T3_T4,trial_14,2.3728299140930176,3.1093480587005615,0.8630796670913696
MLP_alsfrs-r_T3_T4,trial_40,2.3365635871887207,3.059899091720581,0.8682030439376831
MLP_alsfrs-r_T3_T4,trial_47,2.7973976135253906,3.4387998580932617,0.8395626544952393
MLP_alsfrs-r_T3_T4,trial_3,2.3030314445495605,3.0743207931518555,0.8650601506233215
MLP_alsfrs-r_T3_T4,trial_4,2.301452875137329,3.0488176345825195,0.8682591319084167
MLP_alsfrs-r_T3_T4,trial_49,2.521461009979248,3.1716885566711426,0.8623425960540771
MLP_alsfrs-r_T3_T4,trial_32,2.6494710445404053,3.295525074005127,0.8518860936164856
MLP_alsfrs-r_T3_T4,trial_35,2.7417495250701904,3.368236780166626,0.8471825122833252
MLP_alsfrs-r_T3_T4,trial_50,2.361220598220825,3.1544368267059326,0.857627272605896
MLP_alsfrs-r_T3_T4,trial_34,2.3992340564727783,3.2395336627960205,0.847464919090271
