dataset,trial,mae,rmse,r2,n_layer,n_units,learning_rate,decroissant
T1-T2-T3-T4_T5,trial_3,2.3327102661132812,3.026684522628784,0.8740001916885376,2.0,512.0,5e-05,0.0
T1-T2-T3_T4,trial_1,2.1912550926208496,3.000922203063965,0.8649076819419861,3.0,512.0,5e-06,0.0
T1-T2_T3,trial_2,2.3460166454315186,3.2562081813812256,0.8192881941795349,2.0,512.0,1e-05,0.0
T1_T2,trial_3,2.362128734588623,3.3102946281433105,0.7710844874382019,3.0,512.0,5e-05,0.0
T2-T3-T4_T5,trial_5,2.3441314697265625,3.0883734226226807,0.8681553602218628,2.0,512.0,0.0005,1.0
T2-T3_T4,trial_2,2.1754517555236816,3.0395326614379883,0.8623682260513306,2.0,512.0,1e-05,0.0
T2_T3,trial_6,2.4004201889038086,3.349391460418701,0.8090904355049133,1.0,256.0,0.001,0.0
T3-T4_T5,trial_1,2.516827344894409,3.476226568222046,0.8378267288208008,2.0,512.0,5e-06,1.0
T3_T4,trial_1,2.2711336612701416,3.045142412185669,0.8677623867988586,1.0,512.0,5e-06,1.0
T4_T5,trial_3,2.522526741027832,3.4387917518615723,0.8519363403320312,1.0,128.0,5e-05,1.0
