dataset,n_layer,n_units,learning_rate,decroissant,mae,rmse,r2,trial
control_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,4.1782050132751465,5.454368591308594,0.6167735457420349,trial_0
control_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.415959358215332,4.385444164276123,0.664737343788147,trial_0
control_T1-T2_T3,3.0,256.0,0.0001,1.0,3.302218198776245,4.226789474487305,0.6791439652442932,trial_0
control_T1_T2,2.0,512.0,5e-05,0.0,3.214341163635254,4.303794860839844,0.5088647603988647,trial_0
control_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.796976327896118,4.7400407791137695,0.6844598650932312,trial_0
control_T2-T3_T4,3.0,256.0,5e-06,0.0,3.917985439300537,4.979060173034668,0.693558394908905,trial_0
control_T2_T3,1.0,256.0,0.0005,0.0,3.70426082611084,4.791391372680664,0.5976517200469971,trial_0
control_T3-T4_T5,2.0,512.0,5e-05,1.0,3.438558578491211,4.405891418457031,0.765428900718689,trial_0
control_T3_T4,1.0,512.0,5e-06,1.0,6.922126293182373,8.916488647460938,-0.2907995283603668,trial_0
control_T4_T5,3.0,256.0,5e-05,1.0,2.8090310096740723,3.6702756881713863,0.8393522500991821,trial_0
lab_no_delta_r2eta2top100_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,4.165505409240723,5.213752269744873,0.6452959179878235,trial_0
lab_no_delta_r2eta2top100_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.272197961807251,4.151942729949951,0.6939602494239807,trial_0
lab_no_delta_r2eta2top100_T1-T2_T3,3.0,256.0,0.0001,1.0,3.343623161315918,4.2019124031066895,0.6842997074127197,trial_0
lab_no_delta_r2eta2top100_T1_T2,2.0,512.0,5e-05,0.0,3.0886824131011963,4.009912014007568,0.575658917427063,trial_0
lab_no_delta_r2eta2top100_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.5161755084991455,4.51674747467041,0.7211148142814636,trial_0
lab_no_delta_r2eta2top100_T2-T3_T4,3.0,256.0,5e-06,0.0,3.742119789123535,4.845080375671387,0.7037543058395386,trial_0
lab_no_delta_r2eta2top100_T2_T3,1.0,256.0,0.0005,0.0,3.7526779174804688,4.732942581176758,0.5861107110977173,trial_0
lab_no_delta_r2eta2top100_T3-T4_T5,2.0,512.0,5e-05,1.0,3.41455078125,4.373552322387695,0.766655683517456,trial_0
lab_no_delta_r2eta2top100_T3_T4,1.0,512.0,5e-06,1.0,7.175952911376953,9.190821647644045,-0.3761711120605469,trial_0
lab_no_delta_r2eta2top100_T4_T5,3.0,256.0,5e-05,1.0,2.9769043922424316,3.9772818088531494,0.8153196573257446,trial_0
lab_no_delta_thresh80_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,4.055880069732666,5.122860908508301,0.6715457439422607,trial_0
lab_no_delta_thresh80_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.288173198699951,4.295512676239014,0.7127830982208252,trial_0
lab_no_delta_thresh80_T1-T2_T3,3.0,256.0,0.0001,1.0,3.3595709800720215,4.31151008605957,0.6737081408500671,trial_0
lab_no_delta_thresh80_T1_T2,2.0,512.0,5e-05,0.0,3.2364566326141357,4.173123836517334,0.613952100276947,trial_0
lab_no_delta_thresh80_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.361029624938965,4.164663314819336,0.7707369327545166,trial_0
lab_no_delta_thresh80_T2-T3_T4,3.0,256.0,5e-06,0.0,3.3232240676879883,4.272202968597412,0.7350460886955261,trial_0
lab_no_delta_thresh80_T2_T3,1.0,256.0,0.0005,0.0,3.20200252532959,4.1947808265686035,0.7335898280143738,trial_0
lab_no_delta_thresh80_T3-T4_T5,2.0,512.0,5e-05,1.0,3.131427526473999,4.0367960929870605,0.779655396938324,trial_0
lab_no_delta_thresh80_T3_T4,1.0,512.0,5e-06,1.0,5.680591106414795,7.421369552612305,0.2107869982719421,trial_0
lab_no_delta_thresh80_T4_T5,3.0,512.0,5e-05,1.0,2.820764541625977,3.5455081462860107,0.8367739319801331,trial_34
lab_r2eta2top100_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,3.848889112472534,4.875392436981201,0.7014920711517334,trial_0
lab_r2eta2top100_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.0377533435821533,3.830757617950439,0.7732763290405273,trial_0
lab_r2eta2top100_T1-T2_T3,3.0,256.0,0.0001,1.0,3.606947183609009,4.661390781402588,0.5965909957885742,trial_0
lab_r2eta2top100_T1_T2,2.0,512.0,5e-05,0.0,3.1838839054107666,4.242237567901611,0.5770103335380554,trial_0
lab_r2eta2top100_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.8496968746185303,4.83543586730957,0.7298895120620728,trial_0
lab_r2eta2top100_T2-T3_T4,3.0,256.0,5e-06,0.0,3.171548843383789,4.126600742340088,0.756493330001831,trial_0
lab_r2eta2top100_T2_T3,1.0,256.0,0.0005,0.0,3.1439199447631836,4.268537521362305,0.6788049340248108,trial_0
lab_r2eta2top100_T3-T4_T5,2.0,512.0,5e-05,1.0,3.343186140060425,4.247892379760742,0.7386425137519836,trial_0
lab_r2eta2top100_T3_T4,1.0,512.0,5e-06,1.0,5.272903919219971,6.7089691162109375,0.3654197156429291,trial_0
lab_r2eta2top100_T4_T5,3.0,256.0,5e-05,1.0,3.161585807800293,4.208439350128174,0.7480588555335999,trial_0
lab_thresh80_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,3.8609867095947266,4.996170520782471,0.7017247676849365,trial_0
lab_thresh80_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.2117252349853516,4.212118148803711,0.727935791015625,trial_0
lab_thresh80_T1-T2_T3,3.0,256.0,0.0001,1.0,3.364107131958008,4.290701866149902,0.6890550255775452,trial_0
lab_thresh80_T1_T2,2.0,512.0,5e-05,0.0,3.3521783351898193,4.339169502258301,0.5436065196990967,trial_0
lab_thresh80_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.5768065452575684,4.4805588722229,0.7468789219856262,trial_0
