dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.41455078125,4.373552322387695,0.766655683517456
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.9769043922424316,3.9772818088531494,0.8153196573257446
MLP_alsfrs-r_lab_thresh80_T2_T3,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.0957705974578857,4.041753768920898,0.735387921333313
MLP_alsfrs-r_lab_no_delta_thresh80_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,4.055880069732666,5.122860908508301,0.6715457439422607
MLP_alsfrs-r_lab_no_delta_thresh80_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.131427526473999,4.0367960929870605,0.779655396938324
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,4.165505409240723,5.213752269744873,0.6452959179878235
MLP_alsfrs-r_control_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,4.1782050132751465,5.454368591308594,0.6167735457420349
MLP_alsfrs-r_lab_r2eta2top100_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.343186140060425,4.247892379760742,0.7386425137519836
MLP_alsfrs-r_no_delta_r2eta2top100_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.4329330921173096,4.599480152130127,0.6903728246688843
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.0886824131011963,4.009912014007568,0.575658917427063
MLP_alsfrs-r_no_delta_r2eta2top100_T2-T3-T4_T5,trial_0,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.6443567276000977,4.5025811195373535,0.7275463938713074
MLP_alsfrs-r_no_delta_r2eta2top100_T1-T2-T3_T4,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.3503856658935547,4.121983528137207,0.7256184220314026
MLP_alsfrs-r_control_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.302218198776245,4.226789474487305,0.6791439652442932
MLP_alsfrs-r_lab_thresh80_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.364107131958008,4.290701866149902,0.6890550255775452
MLP_alsfrs-r_lab_thresh80_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,5.560917377471924,7.3054423332214355,0.2111462950706482
MLP_alsfrs-r_lab_no_delta_thresh80_T1-T2-T3_T4,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.288173198699951,4.295512676239014,0.7127830982208252
MLP_alsfrs-r_lab_no_delta_thresh80_T2-T3-T4_T5,trial_0,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.361029624938965,4.164663314819336,0.7707369327545166
MLP_alsfrs-r_no_delta_thresh80_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,5.633107662200928,7.309548377990723,0.23057125508785248
MLP_alsfrs-r_lab_r2eta2top100_T2_T3,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.1439199447631836,4.268537521362305,0.6788049340248108
MLP_alsfrs-r_no_delta_r2eta2top100_T2_T3,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.704617977142334,4.932011127471924,0.6347164511680603
MLP_alsfrs-r_lab_thresh80_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.28421688079834,4.251023292541504,0.7549276351928711
MLP_alsfrs-r_no_delta_r2eta2top100_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.6336214542388916,4.529712677001953,0.675088107585907
MLP_alsfrs-r_control_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.917985439300537,4.979060173034668,0.693558394908905
MLP_alsfrs-r_lab_no_delta_thresh80_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,5.680591106414795,7.421369552612305,0.21078699827194214
