Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1_T2/trial_0;2;128;0,0002;sigmoid;Huber;1;RMSprop;2,7587;2,7587;5 355
T1_T2/trial_1;2;1 024;0;sigmoid;MAE;0;Adam;2,5672;2,5672;13 515
T1_T2/trial_10;3;256;0,0001;tanh;MSE;0;Adam;2,7775;2,7775;6 290
T1_T2/trial_11;4;64;0,0001;ReLU;MAE;0;Adam;2,3864;2,3864;1 870
T1_T2/trial_12;4;256;0,0006;ReLU;Huber;1;RMSprop;2,9786;2,9786;176
T1_T2/trial_13;4;1 024;0;ReLU;MSE;0;RMSprop;2,4134;2,4134;935
T1_T2/trial_14;2;512;0,0001;tanh;Huber;1;Adam;2,5548;2,5548;6 290
T1_T2/trial_15;2;512;0,0001;tanh;MAE;0;Adam;2,5738;2,5738;4 760
T1_T2/trial_16;1;512;0;tanh;Huber;1;Adam;2,4895;2,4895;9 350
T1_T2/trial_17;1;512;0,0001;tanh;Huber;1;Adam;2,5129;2,5129;3 740
T1_T2/trial_18;1;512;0,0002;tanh;MAE;1;Adam;2,5301;2,5301;5 100
T1_T2/trial_19;1;512;0,0007;tanh;MSE;1;Adam;2,5817;2,5817;4 930
T1_T2/trial_2;2;256;0;sigmoid;Huber;0;Adam;2,6138;2,6138;21 420
T1_T2/trial_20;1;64;0;tanh;Huber;1;Adam;21,7333;21,7333;4 400
T1_T2/trial_21;1;512;0,0001;tanh;Huber;1;Adam;2,4678;2,4678;5 270
T1_T2/trial_22;1;512;0,0005;tanh;Huber;1;Adam;2,713;2,713;2 720
T1_T2/trial_23;1;512;0,0001;tanh;Huber;1;Adam;2,6625;2,6625;2 380
T1_T2/trial_24;1;512;0,0001;tanh;Huber;1;Adam;2,539;2,539;4 420
T1_T2/trial_25;2;512;0;tanh;Huber;1;Adagrad;22,2435;22,2435;34 000
T1_T2/trial_26;3;512;0;tanh;Huber;1;Adam;2,5658;2,5658;26 690
T1_T2/trial_27;3;512;0;tanh;Huber;1;Adam;2,6494;2,6494;21 250
T1_T2/trial_28;4;1 024;0;tanh;MAE;1;Adam;16,6717;16,6717;8 600
T1_T2/trial_29;3;128;0;tanh;MSE;1;Adagrad;32,4758;32,4758;4 400
T1_T2/trial_3;1;32;0,0037;tanh;Huber;1;RMSprop;6,0456;6,0456;462
T1_T2/trial_30;3;64;0,0004;tanh;Huber;1;Adam;2,7128;2,7128;15 300
T1_T2/trial_31;1;512;0,0001;tanh;Huber;1;Adam;2,4377;2,4377;5 950
T1_T2/trial_32;2;512;0,0001;tanh;Huber;1;Adam;2,712;2,712;5 950
T1_T2/trial_33;1;512;0;tanh;Huber;1;Adam;2,4551;2,4551;14 450
T1_T2/trial_34;1;128;0;tanh;Huber;1;Adam;2,5732;2,5732;22 780
T1_T2/trial_35;1;512;0,0002;sigmoid;Huber;1;Adam;2,7144;2,7144;2 550
T1_T2/trial_36;2;1 024;0;tanh;Huber;1;Adam;2,6439;2,6439;4 760
T1_T2/trial_37;2;512;0,0001;tanh;Huber;1;RMSprop;2,5793;2,5793;2 024
T1_T2/trial_38;1;512;0;tanh;MAE;1;Adam;2,4784;2,4784;5 160
T1_T2/trial_39;1;32;0,0003;sigmoid;Huber;1;Adagrad;29,9581;29,9581;34 000
T1_T2/trial_4;5;32;0,0078;ReLU;Huber;1;RMSprop;2,7577;2,7577;1 360
T1_T2/trial_40;2;512;0,0002;tanh;Huber;1;Adam;2,6409;2,6409;2 720
T1_T2/trial_41;1;512;0;tanh;Huber;1;Adam;2,4441;2,4441;16 660
T1_T2/trial_42;1;512;0;tanh;Huber;1;Adam;2,455;2,455;18 870
T1_T2/trial_43;1;512;0;tanh;Huber;1;Adam;2,5072;2,5072;14 450
T1_T2/trial_44;1;256;0;sigmoid;Huber;0;Adam;2,622;2,622;32 470
T1_T2/trial_45;2;128;0,0017;ReLU;Huber;1;RMSprop;2,5575;2,5575;2 890
T1_T2/trial_46;1;32;0;tanh;MSE;1;Adam;27,7166;27,7166;8 600
T1_T2/trial_47;2;512;0;tanh;Huber;0;Adam;2,526;2,526;8 160
T1_T2/trial_48;1;64;0,0001;ReLU;Huber;1;Adagrad;3,2598;3,2598;34 000
T1_T2/trial_49;1;512;0;tanh;Huber;1;RMSprop;2,4843;2,4843;14 450
T1_T2/trial_5;1;512;0,0003;sigmoid;Huber;1;Adagrad;13,1033;13,1033;8 600
T1_T2/trial_6;2;32;0,0014;ReLU;MSE;0;Adam;2,3674;2,3674;387
T1_T2/trial_7;5;128;0,0033;sigmoid;Huber;1;Adagrad;24,7849;24,7849;34 000
T1_T2/trial_8;5;256;0,009;ReLU;Huber;1;RMSprop;9,7375;9,7375;516
T1_T2/trial_9;3;32;0;sigmoid;Huber;0;Adagrad;33,6791;33,6791;17 000
T1-T2_T3/trial_0;2;32;0,0001;sigmoid;MAE;1;Adam;20,0395;20,0395;6 600
T1-T2_T3/trial_1;4;256;0,0025;sigmoid;MAE;0;Adam;6,7747;6,7747;363
T1-T2_T3/trial_10;3;64;0,001;ReLU;MAE;1;Adagrad;2,4746;2,4746;2 108
T1-T2_T3/trial_11;3;64;0,0011;ReLU;MAE;1;Adagrad;2,489;2,489;1 836
T1-T2_T3/trial_12;3;512;0,0001;ReLU;MAE;1;Adagrad;2,4833;2,4833;2 499
T1-T2_T3/trial_13;3;512;0,0001;ReLU;MAE;1;Adagrad;2,435;2,435;3 213
T1-T2_T3/trial_14;5;512;0;ReLU;MAE;1;Adagrad;3,1696;3,1696;26 400
T1-T2_T3/trial_15;1;512;0,0002;ReLU;Huber;1;Adam;2,3777;2,3777;663
T1-T2_T3/trial_16;1;512;0,0002;ReLU;Huber;1;Adagrad;2,415;2,415;3 400
T1-T2_T3/trial_17;1;512;0,0003;ReLU;Huber;1;Adam;2,3512;2,3512;476
T1-T2_T3/trial_18;1;512;0,0003;ReLU;Huber;1;Adagrad;2,4067;2,4067;3 400
T1-T2_T3/trial_19;1;512;0;ReLU;Huber;1;Adagrad;7,74;7,74;3 400
T1-T2_T3/trial_2;2;64;0,0001;tanh;Huber;0;RMSprop;3,206;3,206;11 220
T1-T2_T3/trial_20;1;512;0,0016;ReLU;Huber;1;Adagrad;2,5272;2,5272;238
T1-T2_T3/trial_21;1;512;0,0003;ReLU;Huber;1;Adagrad;2,4025;2,4025;2 788
T1-T2_T3/trial_22;2;512;0,0004;ReLU;Huber;1;Adagrad;2,4621;2,4621;952
T1-T2_T3/trial_23;1;512;0,0006;ReLU;Huber;1;Adagrad;2,4006;2,4006;850
T1-T2_T3/trial_24;1;512;0,0003;ReLU;Huber;1;Adagrad;2,4023;2,4023;3 400
T1-T2_T3/trial_25;2;512;0,0094;ReLU;Huber;1;Adagrad;2,7054;2,7054;561
T1-T2_T3/trial_26;1;1 024;0,0008;ReLU;Huber;0;Adagrad;2,4436;2,4436;408
T1-T2_T3/trial_27;2;256;0,0002;ReLU;Huber;1;Adagrad;2,4175;2,4175;3 400
T1-T2_T3/trial_28;2;256;0,0001;tanh;Huber;1;Adagrad;24,6414;24,6414;6 600
T1-T2_T3/trial_29;2;32;0,0002;sigmoid;MSE;1;Adagrad;30,2524;30,2524;13 200
T1-T2_T3/trial_3;2;1 024;0;sigmoid;MAE;0;Adam;2,5928;2,5928;17 160
T1-T2_T3/trial_30;2;256;0,0022;sigmoid;Huber;1;RMSprop;3,8515;3,8515;1 518
T1-T2_T3/trial_31;1;256;0,0005;ReLU;Huber;1;Adagrad;2,3867;2,3867;3 400
T1-T2_T3/trial_32;1;256;0,0006;ReLU;Huber;1;Adagrad;2,3766;2,3766;2 584
T1-T2_T3/trial_33;2;256;0,0005;ReLU;Huber;1;Adagrad;2,4643;2,4643;986
T1-T2_T3/trial_34;1;256;0,0014;ReLU;Huber;0;Adagrad;2,3772;2,3772;782
T1-T2_T3/trial_35;1;256;0,0008;sigmoid;Huber;1;Adagrad;16,248;16,248;3 400
T1-T2_T3/trial_36;2;128;0,0001;tanh;Huber;0;Adagrad;25,535;25,535;6 600
T1-T2_T3/trial_37;2;256;0,0034;ReLU;Huber;1;Adam;2,5759;2,5759;187
T1-T2_T3/trial_38;1;32;0,0002;ReLU;MSE;1;RMSprop;3,1792;3,1792;2 244
T1-T2_T3/trial_39;4;1 024;0,0001;sigmoid;Huber;0;Adagrad;12,0335;12,0335;13 200
T1-T2_T3/trial_4;4;128;0,0049;tanh;Huber;1;Adam;6,7724;6,7724;1 188
T1-T2_T3/trial_40;1;256;0,0004;tanh;Huber;1;Adam;2,738;2,738;935
T1-T2_T3/trial_41;1;128;0,0003;ReLU;Huber;1;Adagrad;2,5852;2,5852;3 400
T1-T2_T3/trial_42;1;512;0,0002;ReLU;Huber;1;Adagrad;2,4684;2,4684;3 400
T1-T2_T3/trial_43;2;64;0,0007;ReLU;Huber;1;Adagrad;2,4538;2,4538;3 400
T1-T2_T3/trial_44;1;256;0,0001;ReLU;MSE;1;Adagrad;2,7208;2,7208;26 400
T1-T2_T3/trial_45;1;32;0,0003;ReLU;Huber;1;RMSprop;2,4381;2,4381;510
T1-T2_T3/trial_46;2;512;0,001;ReLU;Huber;1;Adagrad;2,403;2,403;1 122
T1-T2_T3/trial_47;1;1 024;0;ReLU;Huber;0;Adagrad;2,7908;2,7908;6 600
T1-T2_T3/trial_48;4;64;0,0002;tanh;MSE;1;Adagrad;30,6149;30,6149;3 400
T1-T2_T3/trial_49;2;512;0;ReLU;MAE;1;RMSprop;2,5548;2,5548;578
T1-T2_T3/trial_5;3;64;0,0001;ReLU;MAE;1;Adam;2,38;2,38;4 224
