Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1_T2/trial_0;2;128;0,0002;sigmoid;Huber;1;RMSprop;0,7092;0,7092;5 355
T1_T2/trial_1;2;1 024;0;sigmoid;MAE;0;Adam;0,7616;0,7616;13 515
T1_T2/trial_10;3;256;0,0001;tanh;MSE;0;Adam;0,7109;0,7109;6 290
T1_T2/trial_11;4;64;0,0001;ReLU;MAE;0;Adam;0,7661;0,7661;1 870
T1_T2/trial_12;4;256;0,0006;ReLU;Huber;1;RMSprop;0,7498;0,7498;176
T1_T2/trial_13;4;1 024;0;ReLU;MSE;0;RMSprop;0,7696;0,7696;935
T1_T2/trial_14;2;512;0,0001;tanh;Huber;1;Adam;0,7536;0,7536;6 290
T1_T2/trial_15;2;512;0,0001;tanh;MAE;0;Adam;0,7606;0,7606;4 760
T1_T2/trial_16;1;512;0;tanh;Huber;1;Adam;0,7602;0,7602;9 350
T1_T2/trial_17;1;512;0,0001;tanh;Huber;1;Adam;0,7578;0,7578;3 740
T1_T2/trial_18;1;512;0,0002;tanh;MAE;1;Adam;0,7495;0,7495;5 100
T1_T2/trial_19;1;512;0,0007;tanh;MSE;1;Adam;0,7528;0,7528;4 930
T1_T2/trial_2;2;256;0;sigmoid;Huber;0;Adam;0,7427;0,7427;21 420
T1_T2/trial_20;1;64;0;tanh;Huber;1;Adam;-8,4819;-8,4819;4 400
T1_T2/trial_21;1;512;0,0001;tanh;Huber;1;Adam;0,7696;0,7696;5 270
T1_T2/trial_22;1;512;0,0005;tanh;Huber;1;Adam;0,7391;0,7391;2 720
T1_T2/trial_23;1;512;0,0001;tanh;Huber;1;Adam;0,7599;0,7599;2 380
T1_T2/trial_24;1;512;0,0001;tanh;Huber;1;Adam;0,7698;0,7698;4 420
T1_T2/trial_25;2;512;0;tanh;Huber;1;Adagrad;-10,9982;-10,9982;34 000
T1_T2/trial_26;3;512;0;tanh;Huber;1;Adam;0,7479;0,7479;26 690
T1_T2/trial_27;3;512;0;tanh;Huber;1;Adam;0,7578;0,7578;21 250
T1_T2/trial_28;4;1 024;0;tanh;MAE;1;Adam;-4,9997;-4,9997;8 600
T1_T2/trial_29;3;128;0;tanh;MSE;1;Adagrad;-18,9693;-18,9693;4 400
T1_T2/trial_3;1;32;0,0037;tanh;Huber;1;RMSprop;-0,0053;-0,0053;462
T1_T2/trial_30;3;64;0,0004;tanh;Huber;1;Adam;0,7331;0,7331;15 300
T1_T2/trial_31;1;512;0,0001;tanh;Huber;1;Adam;0,7741;0,7741;5 950
T1_T2/trial_32;2;512;0,0001;tanh;Huber;1;Adam;0,7466;0,7466;5 950
T1_T2/trial_33;1;512;0;tanh;Huber;1;Adam;0,7713;0,7713;14 450
T1_T2/trial_34;1;128;0;tanh;Huber;1;Adam;0,7658;0,7658;22 780
T1_T2/trial_35;1;512;0,0002;sigmoid;Huber;1;Adam;0,7542;0,7542;2 550
T1_T2/trial_36;2;1 024;0;tanh;Huber;1;Adam;0,7544;0,7544;4 760
T1_T2/trial_37;2;512;0,0001;tanh;Huber;1;RMSprop;0,7713;0,7713;2 024
T1_T2/trial_38;1;512;0;tanh;MAE;1;Adam;0,7823;0,7823;5 160
T1_T2/trial_39;1;32;0,0003;sigmoid;Huber;1;Adagrad;-19,7644;-19,7644;34 000
T1_T2/trial_4;5;32;0,0078;ReLU;Huber;1;RMSprop;0,7103;0,7103;1 360
T1_T2/trial_40;2;512;0,0002;tanh;Huber;1;Adam;0,7541;0,7541;2 720
T1_T2/trial_41;1;512;0;tanh;Huber;1;Adam;0,7738;0,7738;16 660
T1_T2/trial_42;1;512;0;tanh;Huber;1;Adam;0,7735;0,7735;18 870
T1_T2/trial_43;1;512;0;tanh;Huber;1;Adam;0,7686;0,7686;14 450
