dataset,trial,batch_size,learning_rate,n_layer,n_units
MLP_alsfrs-r_T3_T4,trial_36,128,0.0019032059446212248,1,32
MLP_alsfrs-r_T3_T4,trial_31,16,0.0009962631799516244,2,64
MLP_alsfrs-r_T3_T4,trial_38,64,0.00012819803932533189,3,64
MLP_alsfrs-r_T3_T4,trial_39,32,0.00018392281616648142,1,128
MLP_alsfrs-r_T3_T4,trial_30,16,8.025784354586143e-05,3,512
MLP_alsfrs-r_T3_T4,trial_37,16,0.0009004446070101223,2,1024
MLP_alsfrs-r_T3_T4,trial_15,16,0.0004287455359529918,2,256
MLP_alsfrs-r_T3_T4,trial_12,16,0.0007802536546654733,2,256
MLP_alsfrs-r_T3_T4,trial_24,16,3.680698914896071e-05,1,512
MLP_alsfrs-r_T3_T4,trial_23,16,9.628305140845021e-05,2,512
MLP_alsfrs-r_T3_T4,trial_5,32,0.00528020301968248,4,256
MLP_alsfrs-r_T3_T4,trial_48,16,0.0005712984049868956,5,256
MLP_alsfrs-r_T3_T4,trial_2,64,0.00017298760634929495,2,1024
MLP_alsfrs-r_T3_T4,trial_46,64,0.0007751370320461942,2,256
MLP_alsfrs-r_T3_T4,trial_41,16,0.0005593091002574694,2,256
MLP_alsfrs-r_T3_T4,trial_22,16,0.0002708171981799772,3,512
MLP_alsfrs-r_T3_T4,trial_25,16,0.00013976705577123437,2,512
MLP_alsfrs-r_T3_T4,trial_13,16,0.0006452137091248098,2,256
MLP_alsfrs-r_T3_T4,trial_14,16,5.048953009331909e-05,3,128
MLP_alsfrs-r_T3_T4,trial_40,128,0.0003767469913384659,4,512
MLP_alsfrs-r_T3_T4,trial_47,16,0.0015774105575051928,1,256
MLP_alsfrs-r_T3_T4,trial_3,64,0.009120427768659168,5,64
MLP_alsfrs-r_T3_T4,trial_4,128,0.006568932177471163,4,1024
MLP_alsfrs-r_T3_T4,trial_49,16,0.0035931950757454563,3,256
MLP_alsfrs-r_T3_T4,trial_32,16,0.0011993324571172817,2,64
MLP_alsfrs-r_T3_T4,trial_35,64,0.00046121578119098945,2,64
MLP_alsfrs-r_T3_T4,trial_34,16,0.00025651934617573963,3,64
MLP_alsfrs-r_T3_T4,trial_33,16,0.00015797869381583055,2,64
MLP_alsfrs-r_T3_T4,trial_1,128,0.004926043646126358,5,64
MLP_alsfrs-r_T3_T4,trial_6,64,0.0015181121885308956,1,256
MLP_alsfrs-r_T3_T4,trial_42,16,0.002231788410845344,2,1024
MLP_alsfrs-r_T3_T4,trial_45,16,0.0006022971976440638,2,256
MLP_alsfrs-r_T3_T4,trial_8,64,0.002954999845909111,1,1024
MLP_alsfrs-r_T3_T4,trial_11,16,1.7998830005749246e-05,2,256
MLP_alsfrs-r_T3_T4,trial_29,128,0.00040171745035785355,1,128
MLP_alsfrs-r_T3_T4,trial_16,16,0.0012711337351862268,3,32
MLP_alsfrs-r_T3_T4,trial_20,16,0.00024342803040098616,2,512
MLP_alsfrs-r_T3_T4,trial_18,16,0.00021023385802727395,4,128
MLP_alsfrs-r_T3_T4,trial_27,32,1.3449041012938711e-05,2,512
MLP_alsfrs-r_T3_T4,trial_44,16,0.0005555261613942354,2,256
MLP_alsfrs-r_T3_T4,trial_9,32,0.0029395556933966877,3,32
MLP_alsfrs-r_T3_T4,trial_43,16,0.0010197144493619195,2,64
MLP_alsfrs-r_T3_T4,trial_7,16,0.00010475717341823199,5,512
MLP_alsfrs-r_T3_T4,trial_0,128,0.0005507344008507569,1,1024
MLP_alsfrs-r_T3_T4,trial_19,32,6.358775075407936e-05,1,128
MLP_alsfrs-r_T3_T4,trial_26,16,0.00031407128708050755,3,128
MLP_alsfrs-r_T3_T4,trial_21,16,0.00019616734700362684,2,512
MLP_alsfrs-r_T3_T4,trial_28,128,2.6621767450735494e-05,1,512
MLP_alsfrs-r_T3_T4,trial_17,16,0.0002335813952998309,2,128
MLP_alsfrs-r_T3_T4,trial_10,16,0.0006360794252643503,2,256
MLP_alsfrs-r_T1_T5,trial_36,32,0.0005614504437894645,4,128
MLP_alsfrs-r_T1_T5,trial_31,32,0.005036274495843437,3,128
MLP_alsfrs-r_T1_T5,trial_38,64,0.0001987178672753593,5,128
MLP_alsfrs-r_T1_T5,trial_39,32,0.006641813050084548,4,1024
MLP_alsfrs-r_T1_T5,trial_30,32,0.0015260873457716441,4,1024
MLP_alsfrs-r_T1_T5,trial_37,32,0.0011961633556780253,3,256
MLP_alsfrs-r_T1_T5,trial_15,16,8.00270938932824e-05,1,128
MLP_alsfrs-r_T1_T5,trial_12,16,1.1153477485381266e-05,2,512
MLP_alsfrs-r_T1_T5,trial_24,32,0.0017338388838360566,4,128
MLP_alsfrs-r_T1_T5,trial_23,32,0.0026317179448504184,3,128
MLP_alsfrs-r_T1_T5,trial_5,32,0.00013148361197507747,4,1024
MLP_alsfrs-r_T1_T5,trial_48,64,2.3928104318874958e-05,1,32
MLP_alsfrs-r_T1_T5,trial_2,128,0.00010668220034374046,1,512
MLP_alsfrs-r_T1_T5,trial_46,64,2.2349267250953615e-05,1,64
MLP_alsfrs-r_T1_T5,trial_41,32,0.0002447953192866122,2,64
MLP_alsfrs-r_T1_T5,trial_22,32,0.002708788283141156,4,128
MLP_alsfrs-r_T1_T5,trial_25,32,0.000455860636939804,4,64
MLP_alsfrs-r_T1_T5,trial_13,16,0.000280905801688736,1,64
MLP_alsfrs-r_T1_T5,trial_14,128,0.00097140701616971,2,512
MLP_alsfrs-r_T1_T5,trial_40,128,0.0034131847561399307,3,256
MLP_alsfrs-r_T1_T5,trial_47,64,1.820840411414628e-05,1,64
MLP_alsfrs-r_T1_T5,trial_3,128,0.0008988801107669991,3,256
MLP_alsfrs-r_T1_T5,trial_4,32,0.00016300396034726381,3,256
MLP_alsfrs-r_T1_T5,trial_49,64,1.628497434855886e-05,1,64
MLP_alsfrs-r_T1_T5,trial_32,32,0.004028419370016933,3,128
MLP_alsfrs-r_T1_T5,trial_35,32,0.009703558971951548,3,32
MLP_alsfrs-r_T1_T5,trial_34,32,0.00023312898665509205,2,64
MLP_alsfrs-r_T1_T5,trial_33,64,0.0019822885596394706,3,128
MLP_alsfrs-r_T1_T5,trial_1,64,5.187560333853458e-05,1,256
MLP_alsfrs-r_T1_T5,trial_6,64,0.006456032024081406,4,256
MLP_alsfrs-r_T1_T5,trial_42,32,6.018691536511921e-05,1,64
MLP_alsfrs-r_T1_T5,trial_45,64,2.754108447275854e-05,1,64
MLP_alsfrs-r_T1_T5,trial_8,128,0.0009346970054122211,5,32
MLP_alsfrs-r_T1_T5,trial_11,16,1.1905549585789859e-05,1,512
MLP_alsfrs-r_T1_T5,trial_29,32,0.0006473278917953688,3,128
MLP_alsfrs-r_T1_T5,trial_16,128,9.269031371960659e-05,2,128
MLP_alsfrs-r_T1_T5,trial_20,32,0.0024976520893365143,3,128
MLP_alsfrs-r_T1_T5,trial_18,32,0.00040091837045500207,2,128
MLP_alsfrs-r_T1_T5,trial_27,32,0.0016085826004875708,4,128
MLP_alsfrs-r_T1_T5,trial_44,32,3.388960099452973e-05,1,64
MLP_alsfrs-r_T1_T5,trial_9,16,2.5169565031957057e-05,5,1024
MLP_alsfrs-r_T1_T5,trial_43,32,4.375874273279113e-05,1,64
MLP_alsfrs-r_T1_T5,trial_7,64,0.008758560981173485,5,32
MLP_alsfrs-r_T1_T5,trial_0,128,3.9558051935057196e-05,2,32
MLP_alsfrs-r_T1_T5,trial_19,32,0.002970388860703026,2,128
MLP_alsfrs-r_T1_T5,trial_26,32,0.0015575790279865507,4,128
MLP_alsfrs-r_T1_T5,trial_21,32,0.003082272449023521,3,128
MLP_alsfrs-r_T1_T5,trial_28,32,0.004920177022727212,5,128
MLP_alsfrs-r_T1_T5,trial_17,32,0.00037819324199127904,1,128
MLP_alsfrs-r_T1_T5,trial_10,16,1.0512667681681248e-05,1,512
MLP_alsfrs-r_T3_T5,trial_36,32,5.195130741400784e-05,3,1024
MLP_alsfrs-r_T3_T5,trial_31,128,0.00026019234242568624,3,1024
MLP_alsfrs-r_T3_T5,trial_38,16,0.00021031267286391613,4,1024
MLP_alsfrs-r_T3_T5,trial_39,128,0.00798517599331325,3,128
MLP_alsfrs-r_T3_T5,trial_30,128,0.0007610967287449371,2,256
MLP_alsfrs-r_T3_T5,trial_37,128,0.0010949575553562039,2,32
MLP_alsfrs-r_T3_T5,trial_15,64,2.9247840366934853e-05,1,512
MLP_alsfrs-r_T3_T5,trial_12,128,0.0003511901132161708,2,512
MLP_alsfrs-r_T3_T5,trial_24,128,8.331408870403213e-05,1,512
MLP_alsfrs-r_T3_T5,trial_23,64,1.0164650961657607e-05,2,512
