Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T1-T2-T3-T4_T5/trial_39,4,32,0,tanh,MSE,0,Adagrad,"-8,5924",-8.5924,7 800,T1-T2-T3-T4_T5,trial_39
T1-T2-T3-T4_T5/trial_7,4,32,0,sigmoid,MSE,1,Adam,"-8,4005",-8.4005,7 800,T1-T2-T3-T4_T5,trial_7
T1-T2-T3-T4_T5/trial_1,1,32,0,sigmoid,MSE,1,Adagrad,"-8,2757",-8.2757,7 800,T1-T2-T3-T4_T5,trial_1
T1-T2-T3-T4_T5/trial_2,2,128,0,tanh,Huber,0,RMSprop,"-3,2467",-3.2467,2 000,T1-T2-T3-T4_T5,trial_2
T1-T2-T3-T4_T5/trial_37,1,128,0,tanh,MAE,0,Adam,"-2,3732",-2.3732,4 000,T1-T2-T3-T4_T5,trial_37
T1-T2-T3_T4/trial_5,4,32,"0,0012",tanh,Huber,1,Adagrad,"-9,1767",-9.1767,10 800,T1-T2-T3_T4,trial_5
T1-T2-T3_T4/trial_29,2,512,0,sigmoid,Huber,1,Adagrad,"-8,0637",-8.0637,5 400,T1-T2-T3_T4,trial_29
T1-T2-T3_T4/trial_34,1,64,0,sigmoid,Huber,1,Adam,"-7,5482",-7.5482,5 400,T1-T2-T3_T4,trial_34
T1-T2-T3_T4/trial_25,1,512,0,sigmoid,Huber,1,Adagrad,"-7,5103",-7.5103,21 400,T1-T2-T3_T4,trial_25
T1-T2-T3_T4/trial_9,3,1 024,0,sigmoid,MSE,0,Adagrad,"-6,2205",-6.2205,2 800,T1-T2-T3_T4,trial_9
T1-T2-T3_T5/trial_7,1,64,0,tanh,Huber,1,Adagrad,"-8,6116",-8.6116,15 800,T1-T2-T3_T5,trial_7
T1-T2-T3_T5/trial_25,5,128,0,ReLU,Huber,1,Adagrad,"-8,5366",-8.5366,8 000,T1-T2-T3_T5,trial_25
T1-T2-T3_T5/trial_9,4,512,0,sigmoid,MSE,1,RMSprop,"-3,8534",-3.8534,15 800,T1-T2-T3_T5,trial_9
T1-T2-T3_T5/trial_39,3,128,0,sigmoid,MSE,0,RMSprop,"-3,7414",-3.7414,2 000,T1-T2-T3_T5,trial_39
T1-T2-T3_T5/trial_36,3,128,"0,0001",sigmoid,MSE,0,RMSprop,"-2,9637",-2.9637,2 000,T1-T2-T3_T5,trial_36
T1-T2-T4_T5/trial_0,4,128,0,sigmoid,Huber,0,Adagrad,"-8,4954",-8.4954,15 600,T1-T2-T4_T5,trial_0
T1-T2-T4_T5/trial_1,4,512,0,sigmoid,Huber,1,Adagrad,"-8,3865",-8.3865,15 600,T1-T2-T4_T5,trial_1
T1-T2-T4_T5/trial_5,5,64,"0,0002",sigmoid,MAE,1,Adagrad,"-7,5727",-7.5727,7 800,T1-T2-T4_T5,trial_5
T1-T2-T4_T5/trial_38,4,128,"0,0002",sigmoid,MSE,1,Adagrad,"-7,4011",-7.4011,7 800,T1-T2-T4_T5,trial_38
T1-T2-T4_T5/trial_2,4,64,0,tanh,MSE,1,RMSprop,"-6,3672",-6.3672,7 800,T1-T2-T4_T5,trial_2
T1-T2_T3/trial_29,2,32,"0,0002",sigmoid,MSE,1,Adagrad,"-15,6982",-15.6982,13 200,T1-T2_T3,trial_29
T1-T2_T3/trial_7,5,1 024,0,tanh,MAE,1,Adagrad,"-15,6582",-15.6582,26 400,T1-T2_T3,trial_7
T1-T2_T3/trial_48,4,64,"0,0002",tanh,MSE,1,Adagrad,"-13,7999",-13.7999,3 400,T1-T2_T3,trial_48
T1-T2_T3/trial_36,2,128,"0,0001",tanh,Huber,0,Adagrad,"-10,1",-10.1,6 600,T1-T2_T3,trial_36
T1-T2_T3/trial_28,2,256,"0,0001",tanh,Huber,1,Adagrad,"-9,4118",-9.4118,6 600,T1-T2_T3,trial_28
T1-T2_T4/trial_39,4,32,"0,0002",tanh,Huber,1,Adagrad,"-14,3715",-14.3715,21 800,T1-T2_T4,trial_39
T1-T2_T4/trial_6,3,32,0,tanh,MAE,1,Adam,"-10,0274",-10.0274,5 600,T1-T2_T4,trial_6
T1-T2_T4/trial_28,5,128,0,sigmoid,Huber,1,Adam,"-9,9495",-9.9495,11 000,T1-T2_T4,trial_28
T1-T2_T4/trial_0,2,128,"0,0001",tanh,MAE,1,Adagrad,"-9,8579",-9.8579,21 800,T1-T2_T4,trial_0
T1-T2_T4/trial_48,2,32,0,tanh,Huber,1,RMSprop,"-8,7392",-8.7392,5 600,T1-T2_T4,trial_48
T1-T2_T5/trial_48,3,64,0,ReLU,MAE,0,Adagrad,"-8,1847",-8.1847,16 000,T1-T2_T5,trial_48
T1-T2_T5/trial_34,5,32,"0,0058",ReLU,MSE,1,Adagrad,"-8,1768",-8.1768,8 000,T1-T2_T5,trial_34
T1-T2_T5/trial_29,4,64,"0,0001",ReLU,MAE,1,Adagrad,"-6,092",-6.092,2 000,T1-T2_T5,trial_29
T1-T2_T5/trial_4,5,1 024,0,sigmoid,Huber,1,Adam,"-5,5895",-5.5895,8 000,T1-T2_T5,trial_4
T1-T2_T5/trial_8,3,256,0,tanh,MSE,1,Adam,"-1,4673",-1.4673,8 000,T1-T2_T5,trial_8
T1-T3-T4_T5/trial_7,2,32,0,sigmoid,MSE,0,Adagrad,"-10,9829",-10.9829,15 600,T1-T3-T4_T5,trial_7
T1-T3-T4_T5/trial_5,5,32,0,sigmoid,MAE,0,Adagrad,"-8,6194",-8.6194,7 800,T1-T3-T4_T5,trial_5
T1-T3-T4_T5/trial_29,4,64,0,tanh,MAE,1,Adam,"-7,4592",-7.4592,4 000,T1-T3-T4_T5,trial_29
T1-T3-T4_T5/trial_19,4,1 024,0,tanh,MSE,1,Adagrad,"-7,0655",-7.0655,15 600,T1-T3-T4_T5,trial_19
T1-T3-T4_T5/trial_27,1,64,"0,0001",sigmoid,Huber,1,RMSprop,"-2,7323",-2.7323,4 000,T1-T3-T4_T5,trial_27
T1-T3_T4/trial_40,5,32,"0,0001",sigmoid,Huber,0,Adagrad,"-11,6502",-11.6502,21 800,T1-T3_T4,trial_40
T1-T3_T4/trial_1,5,32,"0,0001",sigmoid,MSE,0,Adagrad,"-10,2665",-10.2665,2 800,T1-T3_T4,trial_1
T1-T3_T4/trial_36,4,32,0,sigmoid,MSE,0,Adam,"-9,5472",-9.5472,2 800,T1-T3_T4,trial_36
T1-T3_T4/trial_15,2,64,0,tanh,Huber,1,Adam,"-7,6059",-7.6059,5 600,T1-T3_T4,trial_15
T1-T3_T4/trial_46,5,128,0,tanh,Huber,0,Adam,"-0,3068",-0.3068,11 000,T1-T3_T4,trial_46
T1-T3_T5/trial_46,5,64,"0,0001",sigmoid,Huber,1,Adam,"-7,3914",-7.3914,2 000,T1-T3_T5,trial_46
T1-T3_T5/trial_5,5,256,0,tanh,MAE,1,Adam,"-6,7446",-6.7446,8 000,T1-T3_T5,trial_5
T1-T3_T5/trial_9,2,32,0,ReLU,Huber,0,Adagrad,"-5,8218",-5.8218,4 000,T1-T3_T5,trial_9
T1-T3_T5/trial_14,3,512,"0,0001",sigmoid,Huber,0,Adagrad,"-3,424",-3.424,4 000,T1-T3_T5,trial_14
T1-T3_T5/trial_16,2,128,"0,0007",tanh,MAE,1,Adagrad,"-2,2406",-2.2406,16 000,T1-T3_T5,trial_16
T1-T4_T5/trial_9,4,32,"0,0001",ReLU,Huber,1,Adagrad,"-9,062",-9.062,4 000,T1-T4_T5,trial_9
T1-T4_T5/trial_37,5,32,"0,0002",tanh,Huber,0,Adagrad,"-7,0812",-7.0812,4 000,T1-T4_T5,trial_37
T1-T4_T5/trial_2,1,1 024,0,sigmoid,MSE,0,Adagrad,"-6,7043",-6.7043,8 000,T1-T4_T5,trial_2
T1-T4_T5/trial_46,1,512,0,sigmoid,MAE,0,Adagrad,"-6,6443",-6.6443,4 000,T1-T4_T5,trial_46
T1-T4_T5/trial_38,3,128,0,sigmoid,MSE,0,RMSprop,"-5,3106",-5.3106,2 000,T1-T4_T5,trial_38
T1_T2/trial_9,3,32,0,sigmoid,Huber,0,Adagrad,"-21,8852",-21.8852,17 000,T1_T2,trial_9
T1_T2/trial_39,1,32,"0,0003",sigmoid,Huber,1,Adagrad,"-19,7644",-19.7644,34 000,T1_T2,trial_39
T1_T2/trial_29,3,128,0,tanh,MSE,1,Adagrad,"-18,9693",-18.9693,4 400,T1_T2,trial_29
T1_T2/trial_46,1,32,0,tanh,MSE,1,Adam,"-14,1851",-14.1851,8 600,T1_T2,trial_46
T1_T2/trial_7,5,128,"0,0033",sigmoid,Huber,1,Adagrad,"-13,6195",-13.6195,34 000,T1_T2,trial_7
T1_T3/trial_6,3,64,"0,0001",tanh,MAE,1,Adagrad,"-13,3605",-13.3605,13 400,T1_T3,trial_6
T1_T3/trial_4,4,64,0,tanh,MAE,1,RMSprop,"-11,0004",-11.0004,6 800,T1_T3,trial_4
T1_T3/trial_9,5,256,0,tanh,Huber,1,RMSprop,"-10,5207",-10.5207,6 800,T1_T3,trial_9
T1_T3/trial_0,1,256,"0,0001",sigmoid,MSE,0,Adagrad,"-8,6637",-8.6637,6 800,T1_T3,trial_0
T1_T3/trial_38,4,1 024,"0,0001",tanh,MSE,1,Adagrad,"-7,6013",-7.6013,6 800,T1_T3,trial_38
T1_T4/trial_14,3,32,0,ReLU,Huber,1,Adagrad,"-11,4315",-11.4315,22 200,T1_T4,trial_14
