Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T1-T2-T3-T4_T5/trial_31,2,1 024,0,ReLU,Huber,0,Adam,"3,0075",3.0075,924,T1-T2-T3-T4_T5,trial_31
T1-T2-T3-T4_T5/trial_32,1,1 024,"0,0001",ReLU,Huber,0,Adam,"3,0343",3.0343,1 617,T1-T2-T3-T4_T5,trial_32
T1-T2-T3-T4_T5/trial_44,1,1 024,"0,0006",ReLU,Huber,0,Adagrad,"3,0558",3.0558,1 694,T1-T2-T3-T4_T5,trial_44
T1-T2-T3-T4_T5/trial_24,3,1 024,0,ReLU,Huber,1,Adam,"3,0621",3.0621,2 464,T1-T2-T3-T4_T5,trial_24
T1-T2-T3-T4_T5/trial_21,2,1 024,"0,0002",ReLU,Huber,1,Adam,"3,0639",3.0639,924,T1-T2-T3-T4_T5,trial_21
T1-T2-T3_T4/trial_15,4,128,0,ReLU,MAE,0,Adam,"3,0252",3.0252,3 210,T1-T2-T3_T4,trial_15
T1-T2-T3_T4/trial_7,5,256,"0,0001",ReLU,MAE,1,RMSprop,"3,0262",3.0262,2 568,T1-T2-T3_T4,trial_7
T1-T2-T3_T4/trial_16,4,128,0,ReLU,MAE,0,Adam,"3,0396",3.0396,3 745,T1-T2-T3_T4,trial_16
T1-T2-T3_T4/trial_14,4,128,"0,0001",ReLU,MAE,1,Adam,"3,0606",3.0606,5 136,T1-T2-T3_T4,trial_14
T1-T2-T3_T4/trial_17,2,128,"0,0002",ReLU,MAE,1,Adam,"3,0607",3.0607,1 819,T1-T2-T3_T4,trial_17
T1-T2-T3_T5/trial_3,5,512,"0,0001",ReLU,Huber,1,Adam,"4,3293",4.3293,2 370,T1-T2-T3_T5,trial_3
T1-T2-T3_T5/trial_48,1,256,0,ReLU,MAE,1,RMSprop,"4,3332",4.3332,3 950,T1-T2-T3_T5,trial_48
T1-T2-T3_T5/trial_40,2,256,0,ReLU,Huber,1,RMSprop,"4,3348",4.3348,4 108,T1-T2-T3_T5,trial_40
T1-T2-T3_T5/trial_44,1,256,0,ReLU,Huber,1,RMSprop,"4,3753",4.3753,5 530,T1-T2-T3_T5,trial_44
T1-T2-T3_T5/trial_45,1,256,0,ReLU,Huber,1,RMSprop,"4,3951",4.3951,6 162,T1-T2-T3_T5,trial_45
T1-T2-T4_T5/trial_29,2,32,"0,0001",ReLU,MSE,0,RMSprop,"3,2549",3.2549,3 432,T1-T2-T4_T5,trial_29
T1-T2-T4_T5/trial_20,3,32,"0,0003",ReLU,Huber,0,Adam,"3,262",3.262,2 574,T1-T2-T4_T5,trial_20
T1-T2-T4_T5/trial_23,3,32,"0,0005",ReLU,Huber,0,Adam,"3,2964",3.2964,1 716,T1-T2-T4_T5,trial_23
T1-T2-T4_T5/trial_49,5,256,"0,0028",ReLU,MSE,1,Adagrad,"3,3002",3.3002,1 716,T1-T2-T4_T5,trial_49
T1-T2-T4_T5/trial_42,1,64,"0,0002",ReLU,Huber,1,Adam,"3,3391",3.3391,1 677,T1-T2-T4_T5,trial_42
T1-T2_T3/trial_5,3,64,"0,0001",ReLU,MAE,1,Adam,"3,2632",3.2632,4 224,T1-T2_T3,trial_5
T1-T2_T3/trial_15,1,512,"0,0002",ReLU,Huber,1,Adam,"3,3889",3.3889,663,T1-T2_T3,trial_15
T1-T2_T3/trial_17,1,512,"0,0003",ReLU,Huber,1,Adam,"3,4143",3.4143,476,T1-T2_T3,trial_17
T1-T2_T3/trial_22,2,512,"0,0004",ReLU,Huber,1,Adagrad,"3,4164",3.4164,952,T1-T2_T3,trial_22
